,txn_type,traffic_direction,caller_id,call_date,call_time,duration,caller_antenna,international,recipient_id,timestamp
49,call,ENTRANT,b58b587be09e5c1963bf4deba19597cc,20210720,143334,151.0,608-01-09000-00303,domestic,,20210720143334
50,text,ENTRANT,4434cbce14d0570f470af8651b47841c,20210720,175351,1.0,608-01-09040-30113,domestic,,20210720175351
51,call,ENTRANT,afb8332aa89e95cf8883e42e7d4ff041,20210720,93625,21.0,608-01-00821-33261,domestic,,2021072093625
52,call,SORTANT,da33d17b9b17c3b5725bd1188e1c193e,20210720,114859,10.0,608-01-09000-03941,domestic,,20210720114859
53,text,ENTRANT,5b94716496afdff7e6c8d8ac9229a8c0,20210720,90726,1.0,608-01-05007-06483,domestic,,2021072090726
54,text,ENTRANT,bdd5d38c66a823e118637dc1db320fe2,20210720,140611,1.0,608-01-09009-01605,domestic,,20210720140611
55,call,SORTANT,dce5cd0df45c125c3479dc49cd09006a,20210720,102014,4.0,608-01-09000-03941,domestic,,20210720102014
56,text,ENTRANT,bd400c7341ee881b5c78259467ff7480,20210720,174257,1.0,608-01-09025-39089,domestic,,20210720174257
57,call,SORTANT,bef5b7ef40338cf185b57eda2d8f92da,20210720,142728,48.0,608-01-09036-15784,domestic,,20210720142728
58,call,SORTANT,5b4b90d33423294beb414afacba6a168,20210720,22556,30.0,608-01-09031-25612,domestic,,2021072022556
59,call,SORTANT,42ad0a4a2b3726623ac6dcd25577cc36,20210720,202236,60.0,608-01-09036-17036,domestic,,20210720202236
60,text,ENTRANT,e8c4c648bad4cc276fe202c1996f073c,20210720,64313,1.0,608-01-00720-09491,domestic,,2021072064313
61,text,ENTRANT,b3d49e44bf5c5522f2a3a4ef76ea4b30,20210720,165757,1.0,608-01-09000-03942,domestic,,20210720165757
62,text,ENTRANT,8bf5a1e1e3eede8527e7c7b42aec4d11,20210720,84919,1.0,608-01-00715-09671,domestic,,2021072084919
63,call,ENTRANT,a33f92ceff58b08613fba01c2fbeae0c,20210720,92714,36.0,608-01-09036-25262,domestic,,2021072092714
64,text,ENTRANT,60020429339fb4ecc73921f307cf4995,20210720,114344,1.0,608-01-09030-46361,domestic,,20210720114344
65,call,SORTANT,e9d181be3e7c422485f0fe4b4e504d4c,20210720,125124,44.0,608-01-09036-25621,domestic,,20210720125124
66,call,SORTANT,2cab24e65f5adf5261a95b95c8e7c0ff,20210720,101442,58.0,608-01-09012-14625,domestic,,20210720101442
67,call,SORTANT,332972dc1a9b1fb3928021a771fc8543,20210720,205338,5.0,608-01-00601-25008,domestic,,20210720205338
68,call,SORTANT,bb47109fe1595baef0235eec7ffbe297,20210720,153528,1.0,608-01-09003-39183,domestic,,20210720153528
69,call,SORTANT,ee9626cd291028c664a5883ae3afebd5,20210720,121645,94.0,608-01-09031-30533,domestic,,20210720121645
70,call,ENTRANT,349aa8fe5c821e71b13a934680fc0b46,20210720,203648,97.0,608-01-00601-24931,domestic,,20210720203648
71,call,SORTANT,682c99d82df1f6693541ccd289c60b13,20210720,210546,97.0,608-01-00601-24907,domestic,,20210720210546
72,call,ENTRANT,a1de3a6a13de304f0cc796cbf62078c8,20210720,161342,5.0,608-01-00226-28496,domestic,,20210720161342
73,text,ENTRANT,61aac72fd02e00efd7158c152f5ba398,20210720,182331,1.0,608-01-00411-26767,domestic,,20210720182331
74,call,SORTANT,428bd4933c45fb457d2663f048c83620,20210720,93352,7.0,608-01-09029-11356,domestic,,2021072093352
75,text,ENTRANT,fd5ce2bd6191ae8d96c484e6d332949b,20210720,152413,1.0,608-01-09007-45843,domestic,,20210720152413
76,call,SORTANT,a58f47083a38c4113ef17f3c2631276b,20210720,113307,100.0,608-01-00161-20048,domestic,,20210720113307
77,text,ENTRANT,03c9a48d39db3e445395666d7e6e75d3,20210720,155353,1.0,608-01-00117-21852,domestic,,20210720155353
78,text,ENTRANT,e8ab1f6da9de1c941aa59d918d4423f0,20210720,131910,1.0,608-01-09031-30532,domestic,,20210720131910
79,call,SORTANT,a04c71b031975e04be422585b18c94b3,20210720,182648,69.0,608-01-09031-25616,domestic,,20210720182648
80,call,SORTANT,b54f04a27960996bc12d4b3dacedfb1e,20210720,42108,4.0,608-01-09040-34762,domestic,,2021072042108
81,call,ENTRANT,d4717c8d09b310c31041169c9dd56b59,20210720,110158,57.0,608-01-09025-00368,domestic,,20210720110158
82,call,ENTRANT,b54f04a27960996bc12d4b3dacedfb1e,20210720,182907,88.0,608-01-09040-34672,domestic,,20210720182907
83,text,ENTRANT,f7cbb6db96bc2c0d8c40a86abcebbcfb,20210720,134956,1.0,608-01-09020-47325,domestic,,20210720134956
84,call,SORTANT,ffccfebeb5201387177a7494c2e7dbf3,20210720,193510,133.0,608-01-09025-00052,domestic,,20210720193510
85,text,ENTRANT,1045230d46abbc029761aa37001e238f,20210720,125513,1.0,608-01-00601-25009,domestic,,20210720125513
86,text,ENTRANT,0eae68ae5dc4815e86bcc3169f12b273,20210720,133227,1.0,608-01-00715-09672,domestic,,20210720133227
87,call,SORTANT,de736415f088ed2671b92e197d8a7494,20210720,155909,290.0,608-01-09040-25037,domestic,,20210720155909
88,text,ENTRANT,8d89d18fa73739781ed26d4ed0ccb69b,20210720,193541,1.0,608-01-09008-00219,domestic,,20210720193541
89,call,ENTRANT,17c30b73e3093002327c90feaab49076,20210720,125928,173.0,608-01-09001-02576,domestic,,20210720125928
90,call,SORTANT,6dbc184b45a00b0f6f25a163b7f60e85,20210720,225751,3.0,608-01-00411-24378,domestic,,20210720225751
91,call,SORTANT,11f8ca7e5aa8b24c00fb00b42130b5c0,20210720,13439,10.0,608-01-09040-25011,domestic,,2021072013439
92,call,ENTRANT,6297dcd1151ad7333aab78f591ba9400,20210720,202653,27.0,608-01-00712-09144,domestic,,20210720202653
93,call,ENTRANT,c65fe94b72b3cef089e52ad5ce299829,20210720,170859,10.0,608-01-00408-25431,domestic,,20210720170859
94,call,SORTANT,0cd259105dbbc322d69fa621f79be4b0,20210720,132446,29.0,608-01-09000-36552,domestic,,20210720132446
95,text,ENTRANT,e005d7f4271803c804ef8a547e12d58b,20210720,165254,1.0,608-01-05007-04347,domestic,,20210720165254
96,call,SORTANT,726d9a75c822b55dd8ce7ef3301441c0,20210720,113505,58.0,608-01-09040-30371,domestic,,20210720113505
97,text,ENTRANT,fac31b3da8bb7287ae5ca2aa4a945034,20210720,220544,1.0,608-01-00408-25431,domestic,,20210720220544
98,text,ENTRANT,2871d253f854de1ba940279da50ae770,20210720,95257,1.0,608-01-00712-32682,domestic,,2021072095257
99,text,ENTRANT,0a2becbec17d6b232971841031500a6b,20210720,172524,1.0,608-01-00715-09550,domestic,,20210720172524
100,text,ENTRANT,ed9539923a0036e3142641ce0826e610,20210720,131140,1.0,608-01-09020-47105,domestic,,20210720131140
101,text,ENTRANT,b9ac4dbd42dbeebb047f8d46deb13672,20210720,171836,1.0,608-01-09001-06362,domestic,,20210720171836
102,call,SORTANT,1c8e0ab1914da291b0a8faf473b72f49,20210720,203825,16.0,608-01-00164-19699,domestic,,20210720203825
103,text,ENTRANT,9780f4c21b589c3b221bc59dd5adde6a,20210720,93648,1.0,608-01-00411-31786,domestic,,2021072093648
104,call,SORTANT,b4e8479565c8c43a0744215bb769ba81,20210720,115725,81.0,608-01-09020-34653,domestic,,20210720115725
105,call,ENTRANT,4ebf320c6fd4f26cce6cfc1217e711bf,20210720,213406,68.0,608-01-09040-25083,domestic,,20210720213406
106,call,SORTANT,54ebfb28dee5cd6eba02462173082a37,20210720,131635,4.0,608-01-00164-19695,domestic,,20210720131635
107,call,ENTRANT,8c9502a3b37adfc57a698235a9e70226,20210720,143706,172.0,608-01-09022-49242,domestic,,20210720143706
108,text,ENTRANT,d98e93bfd55a993cd30a0a60a4495f11,20210720,172831,1.0,608-01-09020-34653,domestic,,20210720172831
109,call,ENTRANT,fd274101e0f97363f4ae6b567cf77af4,20210720,191702,68.0,608-01-00164-19698,domestic,,20210720191702
110,text,ENTRANT,253ab7dae41007f2522dabd4ba25bcf0,20210720,215715,1.0,608-01-00715-09672,domestic,,20210720215715
111,text,ENTRANT,d2efa6faeaa323fff1c527416f6c0670,20210720,223916,1.0,608-01-09000-03941,domestic,,20210720223916
112,call,ENTRANT,c059b2b8829a1a6d2ffbfce561c44bf4,20210720,20922,282.0,608-01-09020-24846,domestic,,2021072020922
113,text,ENTRANT,8be094d296dda0a33acf8e72c300ec4e,20210720,135318,1.0,608-01-00601-24929,domestic,,20210720135318
114,text,ENTRANT,8ec6f84097ad82b85c46bc134c14d953,20210720,211140,1.0,608-01-00408-26806,domestic,,20210720211140
115,call,ENTRANT,073168c5fe41376d3d293dcb6f470fbd,20210720,141645,58.0,608-01-09001-09326,domestic,,20210720141645
116,call,SORTANT,f8ea343863b2c7d0e3d6db3fedfda1dc,20210720,213259,6.0,608-01-00715-09670,domestic,,20210720213259
117,call,SORTANT,3ffc53baed1040f091d89064d3e9229e,20210720,132709,130.0,608-01-09040-30343,domestic,,20210720132709
118,call,ENTRANT,bca4239e46c921cc5497bd7a5e85adbd,20210720,224007,8.0,608-01-00117-21260,domestic,,20210720224007
119,text,ENTRANT,9e49d499788f3ddda866656d8a96aa46,20210720,121243,1.0,608-01-00715-09484,domestic,,20210720121243
120,call,ENTRANT,1902f56237df8a652a6ba1c0f1093662,20210720,81416,44.0,608-01-00118-21504,domestic,,2021072081416
121,call,SORTANT,6c0868c53089c4a7e8fb5a9890f47d82,20210720,101141,37.0,608-01-09003-43881,domestic,,20210720101141
122,call,SORTANT,da33d17b9b17c3b5725bd1188e1c193e,20210720,123359,466.0,608-01-09000-03941,domestic,,20210720123359
123,text,ENTRANT,12e1552d8b4612aafab7b6629bed5fb5,20210720,112254,1.0,608-01-00164-19473,domestic,,20210720112254
124,call,SORTANT,ff845b9b8cc260d9419f15182235b587,20210720,113935,20.0,608-01-09020-25007,domestic,,20210720113935
125,call,SORTANT,23690d5b0c555be065ede58c538cd1ad,20210720,210303,11.0,608-01-09040-24951,domestic,,20210720210303
126,text,ENTRANT,bd1e658f47e1a45bae0b7fe3b8181700,20210720,131217,1.0,608-01-09031-21907,domestic,,20210720131217
127,call,ENTRANT,e1316874fd9ff1ca1a3bbe2050e20bce,20210720,190555,25.0,608-01-09000-00319,domestic,,20210720190555
128,text,ENTRANT,5a5d23dc7b05aca4316c7f5011366f8d,20210720,104117,1.0,608-01-09004-30671,domestic,,20210720104117
129,call,ENTRANT,75c682555352d5fc91427024ddcfb00c,20210720,120840,46.0,608-01-00408-24726,domestic,,20210720120840
130,call,ENTRANT,a30b7ef0e63f1f90c46ad4dfef4f5ba6,20210720,102510,61.0,608-01-09000-07244,domestic,,20210720102510
131,text,ENTRANT,50ebbf5ba8232a52b4b1280a4b09090d,20210720,104849,1.0,608-01-09010-00000,domestic,,20210720104849
132,call,SORTANT,20d80a08692ff5b793e639ec61da4493,20210720,175909,723.0,608-01-09000-00293,domestic,,20210720175909
133,call,SORTANT,2bcc198b0456eb6689d76df89f38256c,20210720,141309,3.0,608-01-09040-34531,domestic,,20210720141309
134,call,SORTANT,956afb9bb739a74a685d6dbf3740977d,20210720,144936,31.0,608-01-02005-30575,domestic,,20210720144936
135,call,SORTANT,1551be80779ce6805a05cc73669932fb,20210720,121705,75.0,608-01-09025-00752,domestic,,20210720121705
136,call,SORTANT,6d59bb5cfd2177a969d4bbecdd2e2325,20210720,80608,4.0,608-01-00408-25297,domestic,,2021072080608
137,call,SORTANT,12bc31f4824a6135ba1221150669478c,20210720,203245,41.0,608-01-00715-09550,domestic,,20210720203245
138,call,SORTANT,50d99ac2199f4df1a6b55e5da73282bc,20210720,101247,4.0,608-01-09004-30842,domestic,,20210720101247
139,call,SORTANT,650db60a2bbf79eeb59fdd8e1d6624b0,20210720,164113,28.0,608-01-09000-36573,domestic,,20210720164113
140,call,SORTANT,43db6f1a9ed5498991e6206fd713180a,20210720,95529,4.0,608-01-09012-42313,domestic,,2021072095529
141,call,ENTRANT,792e44ccd7b8971f18a2b675230d5cf0,20210720,71132,39.0,608-01-00710-12369,domestic,,2021072071132
142,call,ENTRANT,7305a09ce2c669b942886e6f847c82d4,20210720,223008,2.0,608-01-00408-26809,domestic,,20210720223008
143,call,ENTRANT,312d7b21125b186b02779379501055e0,20210720,172951,8.0,608-01-09003-35782,domestic,,20210720172951
144,call,SORTANT,895b9ab908db290272d99cac4aeb3da7,20210720,120637,41.0,608-01-00712-33127,domestic,,20210720120637
145,call,SORTANT,a2ea64c82adb0110f762b62f08601001,20210720,171838,35.0,608-01-09025-19171,domestic,,20210720171838
146,text,ENTRANT,68e403824ac38813db064abc47cdd345,20210720,135154,1.0,608-01-09001-42709,domestic,,20210720135154
147,call,ENTRANT,4a8580e9cb4986589d0ea5776c8b8744,20210720,85332,20.0,608-01-00712-04911,domestic,,2021072085332
148,text,ENTRANT,42facd1207e406705b12efdd0275c7ae,20210720,93217,1.0,608-01-09010-02362,domestic,,2021072093217
149,call,SORTANT,66cd929f2fe4b48e27c1f717cbbf51de,20210720,144541,2.0,608-01-09043-22994,domestic,,20210720144541
150,call,ENTRANT,fdea63e7ff141734ddf4c554ae123a22,20210720,130359,32.0,608-01-09040-24851,domestic,,20210720130359
151,call,ENTRANT,11b0f5c38dfa1caa0a2bac4d7ad8f31f,20210720,201804,32.0,608-01-09003-39352,domestic,,20210720201804
152,text,ENTRANT,985c7290cc5d265b0ff731317ba1986c,20210720,121244,1.0,608-01-09040-24858,domestic,,20210720121244
153,text,ENTRANT,0d96f270b8f9cecfe90aa8cbe404e1ad,20210720,162647,1.0,608-01-09040-47335,domestic,,20210720162647
154,text,ENTRANT,e25aa940d15bc3d31f263b95349215d8,20210720,171656,1.0,608-01-09029-51153,domestic,,20210720171656
155,call,ENTRANT,b72e67928ae3dee14e6ed2e14f700179,20210720,190337,8.0,608-01-09036-30541,domestic,,20210720190337
156,text,ENTRANT,6dcd8a37a5e317a1f2ddfdeffdbf0a98,20210720,135515,1.0,608-01-00408-24617,domestic,,20210720135515
157,text,ENTRANT,5ba388bb6736f12890c8eda8116a2a1c,20210720,162955,1.0,608-01-09008-15052,domestic,,20210720162955
158,text,ENTRANT,f36f42d0b81d4eba740eba9c0dc13f23,20210720,120642,1.0,608-01-09040-25073,domestic,,20210720120642
159,text,ENTRANT,ff3e823e9353454d81d0c0bb46197e37,20210720,170651,1.0,608-01-09040-25098,domestic,,20210720170651
160,call,ENTRANT,0bcabdd6b5560f5ee3626e2129df3534,20210720,101604,42.0,608-01-00601-24869,domestic,,20210720101604
161,text,ENTRANT,e1b5693ac6576525d93e320730540b88,20210720,170435,1.0,608-01-00117-21493,domestic,,20210720170435
162,call,ENTRANT,dd87d6100505417dfbb65f3d1bbc880f,20210720,134947,18.0,608-01-09040-24852,domestic,,20210720134947
163,text,ENTRANT,7c3d2ef0bd00d284021f9aed1c66e2a1,20210720,220632,1.0,608-01-00164-19566,domestic,,20210720220632
164,call,ENTRANT,c70f6c842995c307096346900c7d232a,20210720,204152,93.0,608-01-00408-25297,domestic,,20210720204152
165,call,SORTANT,f950d354a26afbc11977be5c079ac740,20210720,195723,352.0,608-01-00712-09802,domestic,,20210720195723
166,text,ENTRANT,525945f360bed7a95553a2ded236c80c,20210720,93542,1.0,608-01-00601-25008,domestic,,2021072093542
167,text,ENTRANT,0798ec93dcfb051486e4eb58fcc44c12,20210720,212237,1.0,608-01-00715-09672,domestic,,20210720212237
168,call,SORTANT,ffccfebeb5201387177a7494c2e7dbf3,20210720,135110,28.0,608-01-09025-00058,domestic,,20210720135110
169,call,DIVERS,ec3fdadc3ba23b33669acd3e00ed1162,20210720,182211,4.0,608-01-09002-00959,domestic,,20210720182211
170,call,SORTANT,e5b08cccddca20d3ec749f5a14a6106c,20210720,201138,32.0,608-01-00601-24931,domestic,,20210720201138
171,call,SORTANT,f4d0238399243823b7fc42339c621ac9,20210720,155647,16.0,608-01-09001-12081,domestic,,20210720155647
172,text,ENTRANT,adf6f2008931f2a3eafce3a8e85f83cf,20210720,94835,1.0,608-01-09003-07032,domestic,,2021072094835
173,text,ENTRANT,54c7057f4ecd2d706cada482cbfef46c,20210720,104409,1.0,608-01-09020-24847,domestic,,20210720104409
174,call,ENTRANT,6a29a935ddcb41452e9aaea24267636f,20210720,161340,32.0,608-01-00601-24906,domestic,,20210720161340
175,call,SORTANT,11333e65298a66c00b815883df69a705,20210720,104515,39.0,608-01-09040-25921,domestic,,20210720104515
176,call,ENTRANT,0cfe994680f7ff9db9ab5006efef1d9e,20210720,200109,8.0,608-01-09000-03947,domestic,,20210720200109
177,call,SORTANT,0560fa9f78ab3dddf845540fd8fe46dc,20210720,214415,98.0,608-01-00164-19700,domestic,,20210720214415
178,call,ENTRANT,682c99d82df1f6693541ccd289c60b13,20210720,121959,132.0,608-01-00601-24907,domestic,,20210720121959
179,call,SORTANT,2a43cae3eb8d77ccb458a05213c9dc78,20210720,80811,45.0,608-01-00715-09670,domestic,,2021072080811
180,call,SORTANT,992a484b6ace11c7c8d4bf31c0b2a17e,20210720,162804,18.0,608-01-09000-03941,domestic,,20210720162804
181,call,SORTANT,d482d89c6580ebe95e77d3b2b9ff8cef,20210720,144515,28.0,608-01-00161-19837,domestic,,20210720144515
182,call,SORTANT,c6884727bc946bc8ed62170f9e13a25e,20210720,113313,194.0,608-01-00715-09484,domestic,,20210720113313
183,call,ENTRANT,58db3730aed1ca3b3467c068c2ce7bd5,20210720,91505,54.0,608-01-09020-43301,domestic,,2021072091505
184,text,ENTRANT,2a4e8ef2217bd9f9b2cb50d733425205,20210720,200118,1.0,608-01-09040-30212,domestic,,20210720200118
185,call,SORTANT,90f654fecf2886281197781a9a9970b1,20210720,163455,18.0,608-01-09036-25628,domestic,,20210720163455
186,call,ENTRANT,ac9d5cc5d5ddd9c34eaf846517b69f1c,20210720,175536,28.0,608-01-09040-25133,domestic,,20210720175536
187,text,ENTRANT,a147adae7b9ccf82456125b2f2786a8c,20210720,112424,1.0,608-01-09040-25083,domestic,,20210720112424
188,call,ENTRANT,313ec51ffc720bc657676df7cf04b2fe,20210720,203038,35.0,608-01-02008-32371,domestic,,20210720203038
189,call,ENTRANT,4e16e929dd1bf7f607f16f2fd7e44e88,20210720,75643,46.0,608-01-09013-10981,domestic,,2021072075643
190,call,ENTRANT,bef5b7ef40338cf185b57eda2d8f92da,20210720,194504,62.0,608-01-09036-17038,domestic,,20210720194504
191,call,SORTANT,94fc052eb004e9d023c7881653682fd1,20210720,231557,53.0,608-01-09000-00201,domestic,,20210720231557
192,call,SORTANT,1c7336d747dbc7823db88e096a190b35,20210720,135742,34.0,608-01-00226-26917,domestic,,20210720135742
193,text,ENTRANT,de4706519a8d0d33373619dad0ae387d,20210720,181722,1.0,608-01-09040-25133,domestic,,20210720181722
194,text,ENTRANT,68490aa79a8bc444a9a949929d9a4c33,20210720,121714,1.0,608-01-09020-25867,domestic,,20210720121714
195,call,SORTANT,576aff07423e1e09f7f54fec3e1697cb,20210720,225721,19.0,608-01-09036-15783,domestic,,20210720225721
196,call,SORTANT,390558f8d5f8d918dc4f5be775c3f260,20210720,94554,3.0,608-01-09017-04868,domestic,,2021072094554
197,call,SORTANT,978d93b76607d0d5e9897fc11b687bfc,20210720,182407,44.0,608-01-09040-25111,domestic,,20210720182407
198,text,ENTRANT,0fb4f505984e7a75c2c65947ad37bf7b,20210720,201605,1.0,608-01-09042-62813,domestic,,20210720201605
199,text,ENTRANT,e8b8fb9d7bcf0c152c81a12764341e38,20210720,231942,1.0,608-01-00720-09901,domestic,,20210720231942
200,call,SORTANT,99bbbe36862cd54d6af25a6d2aea7dca,20210720,145844,60.0,608-01-09000-00431,domestic,,20210720145844
201,call,ENTRANT,6d21c11732a6a7268d0e812dab780e9c,20210720,174401,78.0,608-01-09003-40114,domestic,,20210720174401
202,call,SORTANT,32b80cf57c83e3be96b53d95fdc63d2f,20210720,122312,77.0,608-01-00164-19572,domestic,,20210720122312
203,call,SORTANT,4eff3b131e338ac86c83ac1200f8d386,20210720,133833,229.0,608-01-00407-24347,domestic,,20210720133833
204,call,SORTANT,df2b40245657b2cd646ae16e8c02291b,20210720,141509,1.0,608-01-09040-34673,domestic,,20210720141509
205,call,ENTRANT,81cfee2f5c08d199bb491a7dfa566ed2,20210720,110119,95.0,608-01-09001-05287,domestic,,20210720110119
206,text,ENTRANT,04057ef23d7222dc22d53b5689bd76ce,20210720,202027,1.0,608-01-09036-17038,domestic,,20210720202027
207,text,ENTRANT,0d1b5fef17b556a7fd61872acab40106,20210720,123013,1.0,608-01-09020-30231,domestic,,20210720123013
208,text,ENTRANT,6d8f723fdfba9e9215cc62865766420c,20210720,122143,1.0,608-01-00825-19826,domestic,,20210720122143
209,call,ENTRANT,97d3bb163b2063db5fa236211f11b3a7,20210720,111752,33.0,608-01-00601-25007,domestic,,20210720111752
210,call,SORTANT,6ba4fbb5171d6d667145e739ac62349e,20210720,160351,12.0,608-01-09007-42015,domestic,,20210720160351
211,call,SORTANT,e9c849485929d9fc5efcca183a0f7e7b,20210720,193444,1.0,608-01-00226-28496,domestic,,20210720193444
212,call,SORTANT,f680f1ea62c5815933627553e6f52982,20210720,131444,32.0,608-01-09040-25092,domestic,,20210720131444
213,text,ENTRANT,63abeff91fe7fff6b1739fadabf9827b,20210720,105229,1.0,608-01-09020-24841,domestic,,20210720105229
