,traffic_type,traffic_direction,msisdn,call_date,call_time,duree,ms_location,timestamp
883,VOIX,ENTRANT,aa9c9b625f8b1388c717f0dddbffc800,20210720,185202,441.0,608-01-09043-06517,2021-07-20 18:52:02
761,VOIX,SORTANT,525945f360bed7a95553a2ded236c80c,20210720,192314,53.0,608-01-00710-09460,2021-07-20 19:23:14
319,VOIX,SORTANT,a85a4b4055523f7b2189e39df5aa82f1,20210720,143825,116.0,608-01-00408-25296,2021-07-20 14:38:25
549,SMS,ENTRANT,bb1c6189741d6cbc1c5b89a1b380f31e,20210720,202919,1.0,608-01-00226-26917,2021-07-20 20:29:19
174,SMS,SORTANT,cc8807131fdb6607dadf1e03de778fcb,20210720,230629,1.0,608-01-00206-27845,2021-07-20 23:06:29
371,VOIX,ENTRANT,e7b528d95a455625157bde31d6058119,20210720,164112,73.0,608-01-09040-30111,2021-07-20 16:41:12
527,SMS,ENTRANT,87debc2dc850f2d0a5d40e13bcbc9b30,20210720,130623,1.0,608-01-00408-25638,2021-07-20 13:06:23
210,VOIX,SORTANT,5ac4cd9d84ba6d03775a38166410244f,20210720,113319,2.0,608-01-00712-04910,2021-07-20 11:33:19
235,VOIX,ENTRANT,2c139ab269c662c2d2ec7c84141d3260,20210720,205518,24.0,608-01-02008-24925,2021-07-20 20:55:18
101,VOIX,ENTRANT,77cdfac21ad12d5597e4946fc5963db8,20210720,92803,33.0,608-01-00408-25077,2021-07-20 09:28:03
986,VOIX,ENTRANT,86d3b84b28145c90c74024bd99a9d9eb,20210720,92727,80.0,608-01-09000-00087,2021-07-20 09:27:27
902,SMS,ENTRANT,270b55491bc4cc9f01d0fd58327959f1,20210720,93841,1.0,608-01-09036-22427,2021-07-20 09:38:41
947,SMS,ENTRANT,5084c74e235839ec16f3acc40e9e8715,20210720,111124,1.0,608-01-09025-02867,2021-07-20 11:11:24
346,VOIX,SORTANT,c1aa52f4db3188295223dc604784c67e,20210720,221649,4.0,608-01-00601-24977,2021-07-20 22:16:49
139,VOIX,SORTANT,be9f48e5adb6cd57c8347bbe843932c6,20210720,105311,44.0,608-01-09000-00434,2021-07-20 10:53:11
621,VOIX,ENTRANT,fc35cb167cf039c5f4c40d41c72eab53,20210720,75117,173.0,608-01-00715-09483,2021-07-20 07:51:17
499,VOIX,SORTANT,3210cd3be41fb785bc86e7063b2d31e8,20210720,3309,99.0,608-01-09025-04633,
370,VOIX,SORTANT,26c90e363b72d79d17fef3f7a96c87de,20210720,233500,16.0,608-01-09043-04413,2021-07-20 23:35:00
198,VOIX,SORTANT,676337787ee0eabdc3d7453cd28f8a6c,20210720,224706,4.0,608-01-00712-12344,2021-07-20 22:47:06
687,SMS,ENTRANT,aa831faf2541bf3b8b1035e4888f34a6,20210720,171952,1.0,608-01-09040-25132,2021-07-20 17:19:52
584,VOIX,SORTANT,1df4eb11bb7a35a9a9c4f289ddc0991f,20210720,151147,116.0,608-01-09020-25869,2021-07-20 15:11:47
901,VOIX,ENTRANT,fa8744f2fc7fcb3b5b99911bcea0b597,20210720,145155,42.0,608-01-09036-17038,2021-07-20 14:51:55
59,SMS,ENTRANT,95a2f9cac142e6a3083472dfba0da517,20210720,114835,1.0,608-01-09040-25014,2021-07-20 11:48:35
328,VOIX,SORTANT,07b017d6516a768586258964f8ac4ece,20210720,72240,6.0,608-01-09003-00145,2021-07-20 07:22:40
96,VOIX,SORTANT,6df2fdee89245a160ce1f80b2f540a5f,20210720,162214,4.0,608-01-02007-29797,2021-07-20 16:22:14
312,VOIX,ENTRANT,e18502d35b557a93331dae5580d1424e,20210720,234439,124.0,608-01-00604-29329,2021-07-20 23:44:39
974,VOIX,SORTANT,6c741f6635cab17ccd1c9db7c82dec54,20210720,235331,20.0,608-01-00601-24929,2021-07-20 23:53:31
299,VOIX,SORTANT,23cf82038bf7a940bc048c58cab887bf,20210720,231121,117.0,608-01-09003-43887,2021-07-20 23:11:21
277,VOIX,ENTRANT,cac91d3ca9e4578a220b4e36dc7eb66a,20210720,145340,27.0,608-01-09003-02624,2021-07-20 14:53:40
924,VOIX,ENTRANT,48ef757692cffb4352dde8e276a9abcd,20210720,113801,173.0,608-01-09000-00731,2021-07-20 11:38:01
601,VOIX,ENTRANT,ce2889cf9b59c464b46c30c16a22b5f4,20210720,132954,40.0,608-01-00601-24948,2021-07-20 13:29:54
439,SMS,ENTRANT,e88e4b4ac263bdedb7d158d0532ded6b,20210720,163804,1.0,608-01-00715-09672,2021-07-20 16:38:04
837,VOIX,ENTRANT,b58b587be09e5c1963bf4deba19597cc,20210720,143334,151.0,608-01-09000-00303,2021-07-20 14:33:34
570,SMS,ENTRANT,4434cbce14d0570f470af8651b47841c,20210720,175351,1.0,608-01-09040-30113,2021-07-20 17:53:51
879,VOIX,ENTRANT,afb8332aa89e95cf8883e42e7d4ff041,20210720,93625,21.0,608-01-00821-33261,2021-07-20 09:36:25
261,VOIX,SORTANT,da33d17b9b17c3b5725bd1188e1c193e,20210720,114859,10.0,608-01-09000-03941,2021-07-20 11:48:59
578,SMS,ENTRANT,5b94716496afdff7e6c8d8ac9229a8c0,20210720,90726,1.0,608-01-05007-06483,2021-07-20 09:07:26
23,SMS,ENTRANT,bdd5d38c66a823e118637dc1db320fe2,20210720,140611,1.0,608-01-09009-01605,2021-07-20 14:06:11
30,VOIX,SORTANT,dce5cd0df45c125c3479dc49cd09006a,20210720,102014,4.0,608-01-09000-03941,2021-07-20 10:20:14
617,SMS,ENTRANT,bd400c7341ee881b5c78259467ff7480,20210720,174257,1.0,608-01-09025-39089,2021-07-20 17:42:57
10,VOIX,SORTANT,bef5b7ef40338cf185b57eda2d8f92da,20210720,142728,48.0,608-01-09036-15784,2021-07-20 14:27:28
221,VOIX,SORTANT,5b4b90d33423294beb414afacba6a168,20210720,22556,30.0,608-01-09031-25612,2021-07-20 02:25:56
820,VOIX,SORTANT,42ad0a4a2b3726623ac6dcd25577cc36,20210720,202236,60.0,608-01-09036-17036,2021-07-20 20:22:36
296,SMS,ENTRANT,e8c4c648bad4cc276fe202c1996f073c,20210720,64313,1.0,608-01-00720-09491,2021-07-20 06:43:13
54,SMS,ENTRANT,b3d49e44bf5c5522f2a3a4ef76ea4b30,20210720,165757,1.0,608-01-09000-03942,2021-07-20 16:57:57
542,SMS,ENTRANT,8bf5a1e1e3eede8527e7c7b42aec4d11,20210720,84919,1.0,608-01-00715-09671,2021-07-20 08:49:19
209,VOIX,ENTRANT,a33f92ceff58b08613fba01c2fbeae0c,20210720,92714,36.0,608-01-09036-25262,2021-07-20 09:27:14
604,SMS,ENTRANT,60020429339fb4ecc73921f307cf4995,20210720,114344,1.0,608-01-09030-46361,2021-07-20 11:43:44
692,VOIX,SORTANT,e9d181be3e7c422485f0fe4b4e504d4c,20210720,125124,44.0,608-01-09036-25621,2021-07-20 12:51:24
662,VOIX,SORTANT,2cab24e65f5adf5261a95b95c8e7c0ff,20210720,101442,58.0,608-01-09012-14625,2021-07-20 10:14:42
866,VOIX,SORTANT,332972dc1a9b1fb3928021a771fc8543,20210720,205338,5.0,608-01-00601-25008,2021-07-20 20:53:38
70,VOIX,SORTANT,bb47109fe1595baef0235eec7ffbe297,20210720,153528,1.0,608-01-09003-39183,2021-07-20 15:35:28
543,VOIX,SORTANT,ee9626cd291028c664a5883ae3afebd5,20210720,121645,94.0,608-01-09031-30533,2021-07-20 12:16:45
107,VOIX,ENTRANT,349aa8fe5c821e71b13a934680fc0b46,20210720,203648,97.0,608-01-00601-24931,2021-07-20 20:36:48
493,VOIX,SORTANT,682c99d82df1f6693541ccd289c60b13,20210720,210546,97.0,608-01-00601-24907,2021-07-20 21:05:46
590,VOIX,ENTRANT,a1de3a6a13de304f0cc796cbf62078c8,20210720,161342,5.0,608-01-00226-28496,2021-07-20 16:13:42
741,SMS,ENTRANT,61aac72fd02e00efd7158c152f5ba398,20210720,182331,1.0,608-01-00411-26767,2021-07-20 18:23:31
292,VOIX,SORTANT,428bd4933c45fb457d2663f048c83620,20210720,93352,7.0,608-01-09029-11356,2021-07-20 09:33:52
289,SMS,ENTRANT,fd5ce2bd6191ae8d96c484e6d332949b,20210720,152413,1.0,608-01-09007-45843,2021-07-20 15:24:13
652,VOIX,SORTANT,a58f47083a38c4113ef17f3c2631276b,20210720,113307,100.0,608-01-00161-20048,2021-07-20 11:33:07
39,SMS,ENTRANT,03c9a48d39db3e445395666d7e6e75d3,20210720,155353,1.0,608-01-00117-21852,2021-07-20 15:53:53
589,SMS,ENTRANT,e8ab1f6da9de1c941aa59d918d4423f0,20210720,131910,1.0,608-01-09031-30532,2021-07-20 13:19:10
307,VOIX,SORTANT,a04c71b031975e04be422585b18c94b3,20210720,182648,69.0,608-01-09031-25616,2021-07-20 18:26:48
679,VOIX,SORTANT,b1874ed970d0ca19598bdaed29c09bf2,20210720,131340,4.0,"\""\""",2021-07-20 13:13:40
66,VOIX,SORTANT,b54f04a27960996bc12d4b3dacedfb1e,20210720,42108,4.0,608-01-09040-34762,2021-07-20 04:21:08
275,VOIX,ENTRANT,d4717c8d09b310c31041169c9dd56b59,20210720,110158,57.0,608-01-09025-00368,2021-07-20 11:01:58
67,VOIX,ENTRANT,b54f04a27960996bc12d4b3dacedfb1e,20210720,182907,88.0,608-01-09040-34672,2021-07-20 18:29:07
318,SMS,ENTRANT,f7cbb6db96bc2c0d8c40a86abcebbcfb,20210720,134956,1.0,608-01-09020-47325,2021-07-20 13:49:56
548,VOIX,SORTANT,ffccfebeb5201387177a7494c2e7dbf3,20210720,193510,133.0,608-01-09025-00052,2021-07-20 19:35:10
998,SMS,ENTRANT,1045230d46abbc029761aa37001e238f,20210720,125513,1.0,608-01-00601-25009,2021-07-20 12:55:13
714,SMS,ENTRANT,0eae68ae5dc4815e86bcc3169f12b273,20210720,133227,1.0,608-01-00715-09672,2021-07-20 13:32:27
753,VOIX,SORTANT,de736415f088ed2671b92e197d8a7494,20210720,155909,290.0,608-01-09040-25037,2021-07-20 15:59:09
327,SMS,ENTRANT,8d89d18fa73739781ed26d4ed0ccb69b,20210720,193541,1.0,608-01-09008-00219,2021-07-20 19:35:41
382,VOIX,ENTRANT,17c30b73e3093002327c90feaab49076,20210720,125928,173.0,608-01-09001-02576,2021-07-20 12:59:28
451,VOIX,SORTANT,6dbc184b45a00b0f6f25a163b7f60e85,20210720,225751,3.0,608-01-00411-24378,2021-07-20 22:57:51
522,VOIX,SORTANT,11f8ca7e5aa8b24c00fb00b42130b5c0,20210720,13439,10.0,608-01-09040-25011,2021-07-20 01:34:39
218,VOIX,ENTRANT,6297dcd1151ad7333aab78f591ba9400,20210720,202653,27.0,608-01-00712-09144,2021-07-20 20:26:53
787,VOIX,ENTRANT,c65fe94b72b3cef089e52ad5ce299829,20210720,170859,10.0,608-01-00408-25431,2021-07-20 17:08:59
436,VOIX,SORTANT,0cd259105dbbc322d69fa621f79be4b0,20210720,132446,29.0,608-01-09000-36552,2021-07-20 13:24:46
764,SMS,ENTRANT,e005d7f4271803c804ef8a547e12d58b,20210720,165254,1.0,608-01-05007-04347,2021-07-20 16:52:54
88,VOIX,SORTANT,726d9a75c822b55dd8ce7ef3301441c0,20210720,113505,58.0,608-01-09040-30371,2021-07-20 11:35:05
63,SMS,ENTRANT,fac31b3da8bb7287ae5ca2aa4a945034,20210720,220544,1.0,608-01-00408-25431,2021-07-20 22:05:44
826,SMS,ENTRANT,2871d253f854de1ba940279da50ae770,20210720,95257,1.0,608-01-00712-32682,2021-07-20 09:52:57
716,SMS,ENTRANT,0a2becbec17d6b232971841031500a6b,20210720,172524,1.0,608-01-00715-09550,2021-07-20 17:25:24
351,SMS,ENTRANT,ed9539923a0036e3142641ce0826e610,20210720,131140,1.0,608-01-09020-47105,2021-07-20 13:11:40
936,SMS,ENTRANT,b9ac4dbd42dbeebb047f8d46deb13672,20210720,171836,1.0,608-01-09001-06362,2021-07-20 17:18:36
256,VOIX,SORTANT,1c8e0ab1914da291b0a8faf473b72f49,20210720,203825,16.0,608-01-00164-19699,2021-07-20 20:38:25
635,SMS,ENTRANT,9780f4c21b589c3b221bc59dd5adde6a,20210720,93648,1.0,608-01-00411-31786,2021-07-20 09:36:48
644,VOIX,SORTANT,b4e8479565c8c43a0744215bb769ba81,20210720,115725,81.0,608-01-09020-34653,2021-07-20 11:57:25
554,VOIX,ENTRANT,4ebf320c6fd4f26cce6cfc1217e711bf,20210720,213406,68.0,608-01-09040-25083,2021-07-20 21:34:06
959,VOIX,SORTANT,54ebfb28dee5cd6eba02462173082a37,20210720,131635,4.0,608-01-00164-19695,2021-07-20 13:16:35
168,VOIX,ENTRANT,8c9502a3b37adfc57a698235a9e70226,20210720,143706,172.0,608-01-09022-49242,2021-07-20 14:37:06
917,SMS,ENTRANT,d98e93bfd55a993cd30a0a60a4495f11,20210720,172831,1.0,608-01-09020-34653,2021-07-20 17:28:31
528,VOIX,ENTRANT,fd274101e0f97363f4ae6b567cf77af4,20210720,191702,68.0,608-01-00164-19698,2021-07-20 19:17:02
823,SMS,ENTRANT,253ab7dae41007f2522dabd4ba25bcf0,20210720,215715,1.0,608-01-00715-09672,2021-07-20 21:57:15
985,SMS,ENTRANT,d2efa6faeaa323fff1c527416f6c0670,20210720,223916,1.0,608-01-09000-03941,2021-07-20 22:39:16
816,VOIX,ENTRANT,c059b2b8829a1a6d2ffbfce561c44bf4,20210720,20922,282.0,608-01-09020-24846,2021-07-20 02:09:22
86,SMS,ENTRANT,8be094d296dda0a33acf8e72c300ec4e,20210720,135318,1.0,608-01-00601-24929,2021-07-20 13:53:18
432,SMS,ENTRANT,8ec6f84097ad82b85c46bc134c14d953,20210720,211140,1.0,608-01-00408-26806,2021-07-20 21:11:40
184,VOIX,ENTRANT,073168c5fe41376d3d293dcb6f470fbd,20210720,141645,58.0,608-01-09001-09326,2021-07-20 14:16:45
978,VOIX,SORTANT,f8ea343863b2c7d0e3d6db3fedfda1dc,20210720,213259,6.0,608-01-00715-09670,2021-07-20 21:32:59
534,VOIX,SORTANT,3ffc53baed1040f091d89064d3e9229e,20210720,132709,130.0,608-01-09040-30343,2021-07-20 13:27:09
294,VOIX,ENTRANT,bca4239e46c921cc5497bd7a5e85adbd,20210720,224007,8.0,608-01-00117-21260,2021-07-20 22:40:07
892,SMS,ENTRANT,9e49d499788f3ddda866656d8a96aa46,20210720,121243,1.0,608-01-00715-09484,2021-07-20 12:12:43
425,VOIX,ENTRANT,1902f56237df8a652a6ba1c0f1093662,20210720,81416,44.0,608-01-00118-21504,2021-07-20 08:14:16
713,VOIX,SORTANT,6c0868c53089c4a7e8fb5a9890f47d82,20210720,101141,37.0,608-01-09003-43881,2021-07-20 10:11:41
260,VOIX,SORTANT,da33d17b9b17c3b5725bd1188e1c193e,20210720,123359,466.0,608-01-09000-03941,2021-07-20 12:33:59
237,SMS,ENTRANT,12e1552d8b4612aafab7b6629bed5fb5,20210720,112254,1.0,608-01-00164-19473,2021-07-20 11:22:54
559,VOIX,SORTANT,ff845b9b8cc260d9419f15182235b587,20210720,113935,20.0,608-01-09020-25007,2021-07-20 11:39:35
583,VOIX,SORTANT,23690d5b0c555be065ede58c538cd1ad,20210720,210303,11.0,608-01-09040-24951,2021-07-20 21:03:03
445,SMS,ENTRANT,bd1e658f47e1a45bae0b7fe3b8181700,20210720,131217,1.0,608-01-09031-21907,2021-07-20 13:12:17
867,VOIX,ENTRANT,e1316874fd9ff1ca1a3bbe2050e20bce,20210720,190555,25.0,608-01-09000-00319,2021-07-20 19:05:55
800,SMS,ENTRANT,5a5d23dc7b05aca4316c7f5011366f8d,20210720,104117,1.0,608-01-09004-30671,2021-07-20 10:41:17
599,VOIX,ENTRANT,75c682555352d5fc91427024ddcfb00c,20210720,120840,46.0,608-01-00408-24726,2021-07-20 12:08:40
849,VOIX,ENTRANT,a30b7ef0e63f1f90c46ad4dfef4f5ba6,20210720,102510,61.0,608-01-09000-07244,2021-07-20 10:25:10
265,SMS,ENTRANT,50ebbf5ba8232a52b4b1280a4b09090d,20210720,104849,1.0,608-01-09010-00000,2021-07-20 10:48:49
995,VOIX,SORTANT,20d80a08692ff5b793e639ec61da4493,20210720,175909,723.0,608-01-09000-00293,2021-07-20 17:59:09
529,VOIX,SORTANT,2bcc198b0456eb6689d76df89f38256c,20210720,141309,3.0,608-01-09040-34531,2021-07-20 14:13:09
55,VOIX,SORTANT,956afb9bb739a74a685d6dbf3740977d,20210720,144936,31.0,608-01-02005-30575,2021-07-20 14:49:36
120,VOIX,SORTANT,1551be80779ce6805a05cc73669932fb,20210720,121705,75.0,608-01-09025-00752,2021-07-20 12:17:05
215,VOIX,SORTANT,6d59bb5cfd2177a969d4bbecdd2e2325,20210720,80608,4.0,608-01-00408-25297,2021-07-20 08:06:08
25,VOIX,SORTANT,12bc31f4824a6135ba1221150669478c,20210720,203245,41.0,608-01-00715-09550,2021-07-20 20:32:45
72,VOIX,SORTANT,50d99ac2199f4df1a6b55e5da73282bc,20210720,101247,4.0,608-01-09004-30842,2021-07-20 10:12:47
44,VOIX,SORTANT,650db60a2bbf79eeb59fdd8e1d6624b0,20210720,164113,28.0,608-01-09000-36573,2021-07-20 16:41:13
247,VOIX,SORTANT,43db6f1a9ed5498991e6206fd713180a,20210720,95529,4.0,608-01-09012-42313,2021-07-20 09:55:29
721,VOIX,ENTRANT,792e44ccd7b8971f18a2b675230d5cf0,20210720,71132,39.0,608-01-00710-12369,2021-07-20 07:11:32
281,VOIX,ENTRANT,7305a09ce2c669b942886e6f847c82d4,20210720,223008,2.0,608-01-00408-26809,2021-07-20 22:30:08
893,VOIX,ENTRANT,312d7b21125b186b02779379501055e0,20210720,172951,8.0,608-01-09003-35782,2021-07-20 17:29:51
914,VOIX,SORTANT,895b9ab908db290272d99cac4aeb3da7,20210720,120637,41.0,608-01-00712-33127,2021-07-20 12:06:37
810,VOIX,SORTANT,a2ea64c82adb0110f762b62f08601001,20210720,171838,35.0,608-01-09025-19171,2021-07-20 17:18:38
244,SMS,ENTRANT,68e403824ac38813db064abc47cdd345,20210720,135154,1.0,608-01-09001-42709,2021-07-20 13:51:54
822,VOIX,ENTRANT,4a8580e9cb4986589d0ea5776c8b8744,20210720,85332,20.0,608-01-00712-04911,2021-07-20 08:53:32
321,SMS,ENTRANT,42facd1207e406705b12efdd0275c7ae,20210720,93217,1.0,608-01-09010-02362,2021-07-20 09:32:17
643,VOIX,SORTANT,66cd929f2fe4b48e27c1f717cbbf51de,20210720,144541,2.0,608-01-09043-22994,2021-07-20 14:45:41
158,VOIX,ENTRANT,fdea63e7ff141734ddf4c554ae123a22,20210720,130359,32.0,608-01-09040-24851,2021-07-20 13:03:59
977,VOIX,ENTRANT,11b0f5c38dfa1caa0a2bac4d7ad8f31f,20210720,201804,32.0,608-01-09003-39352,2021-07-20 20:18:04
429,SMS,ENTRANT,985c7290cc5d265b0ff731317ba1986c,20210720,121244,1.0,608-01-09040-24858,2021-07-20 12:12:44
941,SMS,ENTRANT,0d96f270b8f9cecfe90aa8cbe404e1ad,20210720,162647,1.0,608-01-09040-47335,2021-07-20 16:26:47
462,SMS,ENTRANT,e25aa940d15bc3d31f263b95349215d8,20210720,171656,1.0,608-01-09029-51153,2021-07-20 17:16:56
309,VOIX,ENTRANT,b72e67928ae3dee14e6ed2e14f700179,20210720,190337,8.0,608-01-09036-30541,2021-07-20 19:03:37
697,SMS,ENTRANT,6dcd8a37a5e317a1f2ddfdeffdbf0a98,20210720,135515,1.0,608-01-00408-24617,2021-07-20 13:55:15
60,SMS,ENTRANT,5ba388bb6736f12890c8eda8116a2a1c,20210720,162955,1.0,608-01-09008-15052,2021-07-20 16:29:55
884,SMS,ENTRANT,f36f42d0b81d4eba740eba9c0dc13f23,20210720,120642,1.0,608-01-09040-25073,2021-07-20 12:06:42
595,SMS,ENTRANT,ff3e823e9353454d81d0c0bb46197e37,20210720,170651,1.0,608-01-09040-25098,2021-07-20 17:06:51
767,VOIX,ENTRANT,0bcabdd6b5560f5ee3626e2129df3534,20210720,101604,42.0,608-01-00601-24869,2021-07-20 10:16:04
649,SMS,ENTRANT,e1b5693ac6576525d93e320730540b88,20210720,170435,1.0,608-01-00117-21493,2021-07-20 17:04:35
650,VOIX,DIVERS,d9bb5a6a73013fb3678491caeee63b0d,20210720,223531,3.0,"\""\""",2021-07-20 22:35:31
865,VOIX,ENTRANT,dd87d6100505417dfbb65f3d1bbc880f,20210720,134947,18.0,608-01-09040-24852,2021-07-20 13:49:47
668,SMS,ENTRANT,7c3d2ef0bd00d284021f9aed1c66e2a1,20210720,220632,1.0,608-01-00164-19566,2021-07-20 22:06:32
298,VOIX,ENTRANT,c70f6c842995c307096346900c7d232a,20210720,204152,93.0,608-01-00408-25297,2021-07-20 20:41:52
689,VOIX,SORTANT,f950d354a26afbc11977be5c079ac740,20210720,195723,352.0,608-01-00712-09802,2021-07-20 19:57:23
314,SMS,ENTRANT,525945f360bed7a95553a2ded236c80c,20210720,93542,1.0,608-01-00601-25008,2021-07-20 09:35:42
310,SMS,ENTRANT,0798ec93dcfb051486e4eb58fcc44c12,20210720,212237,1.0,608-01-00715-09672,2021-07-20 21:22:37
361,VOIX,SORTANT,ffccfebeb5201387177a7494c2e7dbf3,20210720,135110,28.0,608-01-09025-00058,2021-07-20 13:51:10
479,VOIX,DIVERS,ec3fdadc3ba23b33669acd3e00ed1162,20210720,182211,4.0,608-01-09002-00959,2021-07-20 18:22:11
110,VOIX,SORTANT,e5b08cccddca20d3ec749f5a14a6106c,20210720,201138,32.0,608-01-00601-24931,2021-07-20 20:11:38
989,VOIX,SORTANT,f4d0238399243823b7fc42339c621ac9,20210720,155647,16.0,608-01-09001-12081,2021-07-20 15:56:47
486,SMS,ENTRANT,adf6f2008931f2a3eafce3a8e85f83cf,20210720,94835,1.0,608-01-09003-07032,2021-07-20 09:48:35
363,SMS,ENTRANT,54c7057f4ecd2d706cada482cbfef46c,20210720,104409,1.0,608-01-09020-24847,2021-07-20 10:44:09
254,VOIX,ENTRANT,6a29a935ddcb41452e9aaea24267636f,20210720,161340,32.0,608-01-00601-24906,2021-07-20 16:13:40
259,VOIX,SORTANT,11333e65298a66c00b815883df69a705,20210720,104515,39.0,608-01-09040-25921,2021-07-20 10:45:15
802,VOIX,ENTRANT,0cfe994680f7ff9db9ab5006efef1d9e,20210720,200109,8.0,608-01-09000-03947,2021-07-20 20:01:09
677,VOIX,SORTANT,0560fa9f78ab3dddf845540fd8fe46dc,20210720,214415,98.0,608-01-00164-19700,2021-07-20 21:44:15
494,VOIX,ENTRANT,682c99d82df1f6693541ccd289c60b13,20210720,121959,132.0,608-01-00601-24907,2021-07-20 12:19:59
670,VOIX,SORTANT,2a43cae3eb8d77ccb458a05213c9dc78,20210720,80811,45.0,608-01-00715-09670,2021-07-20 08:08:11
377,VOIX,SORTANT,992a484b6ace11c7c8d4bf31c0b2a17e,20210720,162804,18.0,608-01-09000-03941,2021-07-20 16:28:04
526,VOIX,SORTANT,d482d89c6580ebe95e77d3b2b9ff8cef,20210720,144515,28.0,608-01-00161-19837,2021-07-20 14:45:15
845,VOIX,SORTANT,c6884727bc946bc8ed62170f9e13a25e,20210720,113313,194.0,608-01-00715-09484,2021-07-20 11:33:13
137,VOIX,ENTRANT,58db3730aed1ca3b3467c068c2ce7bd5,20210720,91505,54.0,608-01-09020-43301,2021-07-20 09:15:05
355,SMS,ENTRANT,2a4e8ef2217bd9f9b2cb50d733425205,20210720,200118,1.0,608-01-09040-30212,2021-07-20 20:01:18
365,VOIX,SORTANT,90f654fecf2886281197781a9a9970b1,20210720,163455,18.0,608-01-09036-25628,2021-07-20 16:34:55
942,VOIX,ENTRANT,ac9d5cc5d5ddd9c34eaf846517b69f1c,20210720,175536,28.0,608-01-09040-25133,2021-07-20 17:55:36
749,SMS,ENTRANT,a147adae7b9ccf82456125b2f2786a8c,20210720,112424,1.0,608-01-09040-25083,2021-07-20 11:24:24
948,VOIX,ENTRANT,313ec51ffc720bc657676df7cf04b2fe,20210720,203038,35.0,608-01-02008-32371,2021-07-20 20:30:38
829,VOIX,ENTRANT,4e16e929dd1bf7f607f16f2fd7e44e88,20210720,75643,46.0,608-01-09013-10981,2021-07-20 07:56:43
656,VOIX,ENTRANT,bef5b7ef40338cf185b57eda2d8f92da,20210720,194504,62.0,608-01-09036-17038,2021-07-20 19:45:04
199,VOIX,SORTANT,94fc052eb004e9d023c7881653682fd1,20210720,231557,53.0,608-01-09000-00201,2021-07-20 23:15:57
213,VOIX,SORTANT,1c7336d747dbc7823db88e096a190b35,20210720,135742,34.0,608-01-00226-26917,2021-07-20 13:57:42
408,SMS,ENTRANT,de4706519a8d0d33373619dad0ae387d,20210720,181722,1.0,608-01-09040-25133,2021-07-20 18:17:22
332,SMS,ENTRANT,68490aa79a8bc444a9a949929d9a4c33,20210720,121714,1.0,608-01-09020-25867,2021-07-20 12:17:14
208,VOIX,SORTANT,576aff07423e1e09f7f54fec3e1697cb,20210720,225721,19.0,608-01-09036-15783,2021-07-20 22:57:21
613,VOIX,SORTANT,390558f8d5f8d918dc4f5be775c3f260,20210720,94554,3.0,608-01-09017-04868,2021-07-20 09:45:54
78,VOIX,SORTANT,978d93b76607d0d5e9897fc11b687bfc,20210720,182407,44.0,608-01-09040-25111,2021-07-20 18:24:07
