,volume,msisdn,ms_location,call_date,call_time,timestamp
761,0.9738645553588868,fa06afe3fa1e3d94d980290ab3d52421,608-01-00056-00005,20211118,211320,2021-11-18 21:13:20
319,0.0001678466796875,de1acb9b21cd038199c9b0f5c84fdd57,608-01-00715-26078,20211118,140342,2021-11-18 14:03:42
549,0.0,ef2b9e99daa217cb51e43aebbe6ffcf6,608-01-00459-00001,20211118,60500,2021-11-18 06:05:00
174,78.32905864715576,5c28100177b33523c1efafadf99143a7,608-01-09020-24874,20211118,131817,2021-11-18 13:18:17
371,0.7428016662597656,86bc84e73fcc768d9cfd47bd99b20845,608-01-09036-30532,20211118,182702,2021-11-18 18:27:02
527,0.0,70c8f1877b3341fb956a544af3a9a6e3,608-01-00701-00001,20211118,137,
210,0.0,4cf9469c58b246976d0261297b9eda1d,608-01-00047-00009,20211118,51447,2021-11-18 05:14:47
235,0.0051393508911132,d897d26414665a3faa66f48df7391f7e,608-01-00452-00005,20211118,610,
101,4.919173240661621,42549131d07ca9fc1a789f45fdeabad4,608-01-09036-17039,20211118,184814,2021-11-18 18:48:14
986,0.0009803771972656,22443a755d2925b6e144800e1c171148,608-01-09003-39182,20211118,62124,2021-11-18 06:21:24
902,0.0,50b54a07d78175ee09616af7b90b6737,608-01-00757-00003,20211118,194118,2021-11-18 19:41:18
947,0.0,9915e7a9f2ffd897073268d7f22f4ae4,608-01-00983-00008,20211118,131740,2021-11-18 13:17:40
346,0.0406103134155273,6cecc29edfdf40dfb6343d572d3ac41d,608-01-00658-00004,20211118,165856,2021-11-18 16:58:56
139,3.107016563415528,af1f13f1fe4fa2a6704d5cdf847d4c54,608-01-00313-00004,20211118,210840,2021-11-18 21:08:40
621,0.0,afe31c36c725f5ae4cbfafda66aa9eb9,608-01-00141-00010,20211118,183843,2021-11-18 18:38:43
499,8.54491901397705,63195f913cd60fe89eebf7e99a44c464,608-01-09000-03941,20211118,225042,2021-11-18 22:50:42
370,0.2039251327514648,4cfafa5d2df85855178e3e315fc2be72,608-01-00750-00010,20211118,104717,2021-11-18 10:47:17
198,0.0,8265da5e0991217980f7de986c5340c4,608-01-00918-00004,20211118,71553,2021-11-18 07:15:53
687,2.801826477050781,6d30507999d54714fa6e788de0feea09,608-01-00045-00000,20211118,71418,2021-11-18 07:14:18
584,3.993245124816896,807e079c035d0f9286f1ac5b2be7c3f6,608-01-09043-34121,20211118,225122,2021-11-18 22:51:22
901,0.4631147384643554,bf51f165184f4abfc0171f4f3d7a9a4f,608-01-09036-15785,20211118,130209,2021-11-18 13:02:09
59,0.0,efa46f639afd232d30c7cba1dbb12293,608-01-09036-06874,20211118,152627,2021-11-18 15:26:27
328,0.7616386413574219,f50f8d4dff06ed55a2d3288150fb7d15,608-01-00983-00010,20211118,170707,2021-11-18 17:07:07
96,0.0,9187c046fd5570f00ebd69c3b7e18070,608-01-01158-00004,20211118,155424,2021-11-18 15:54:24
312,0.0,b7945dfdda2e4a6cdae3e4eaf2c25141,608-01-01208-00014,20211118,213430,2021-11-18 21:34:30
974,0.0,5538267bb64cd324b4c3a25c815141b5,608-01-00461-00003,20211118,211554,2021-11-18 21:15:54
299,0.0001678466796875,59960ed06562afb6c314e4cf224403e2,608-01-00117-21853,20211118,14543,2021-11-18 01:45:43
277,0.0,a3934bc0c0c1f7460e8011acfe063387,608-01-03305-00001,20211118,130454,2021-11-18 13:04:54
924,0.2516078948974609,053a33f9a0ebb9a04ecd80112f98bea6,608-01-00313-00007,20211118,90929,2021-11-18 09:09:29
601,0.0003576278686523,fdb5c92357bc7b6601d6f602ca7761aa,608-01-00752-00000,20211118,145119,2021-11-18 14:51:19
439,0.0,19878aeee4044bba73e4c08c32d00fcc,608-01-09030-53951,20211118,90243,2021-11-18 09:02:43
837,0.0018653869628906,e70b172e9d59233e1cb763c9626f9573,608-01-09036-25626,20211118,110037,2021-11-18 11:00:37
570,0.2650251388549804,6a01ab8550474babf298e3ccdf5920c4,608-01-09000-00734,20211118,214244,2021-11-18 21:42:44
879,0.0736770629882812,fc483bda372253c4aaa0776968fef37f,608-01-19385-00006,20211118,34415,2021-11-18 03:44:15
261,2.84450912475586,1cf8e4b24f7c8d4d95f262dfd1be7cd5,608-01-09029-00844,20211118,85808,2021-11-18 08:58:08
578,0.1985864639282226,fe528c28b63d39f82e0a8f4b5a7d3c2e,608-01-09003-02625,20211118,233825,2021-11-18 23:38:25
23,0.0328264236450195,f6b0949e8de203043294f4ac1f0bf12e,608-01-09016-02273,20211118,163231,2021-11-18 16:32:31
30,6.221713066101074,1d82d8a73a1ea8ddcb7ec56568282229,608-01-00658-00005,20211118,112120,2021-11-18 11:21:20
617,0.0,b145b12ef1f2f0f3f44631950840ca3d,608-01-01210-00005,20211118,72303,2021-11-18 07:23:03
10,0.0034904479980468,9e99a9dd35ffd9aaf00d469eb71d7a9d,608-01-00452-00003,20211118,210701,2021-11-18 21:07:01
221,14.121397018432615,7bcfe976acbde9a54967629e83b34fdf,608-01-00043-00000,20211118,175033,2021-11-18 17:50:33
820,9.918212890625e-05,00a56d9e4c4e6e2433a55767bc7c193d,608-01-02700-00003,20211118,113600,2021-11-18 11:36:00
296,0.9170856475830078,de09838247f90d66b77e5536fbf81076,608-01-30202-00010,20211118,131821,2021-11-18 13:18:21
54,0.0001220703125,48f41a023b572a7d6f4a342757efc144,608-01-00715-26077,20211118,101615,2021-11-18 10:16:15
542,6.094649314880371,073168c5fe41376d3d293dcb6f470fbd,608-01-01898-00002,20211118,225946,2021-11-18 22:59:46
209,0.1693372726440429,aea1fa6e2f3105271ab5368c8ce49ddc,608-01-01196-00003,20211118,144819,2021-11-18 14:48:19
604,0.0238332748413085,fbb4d9fcb7cca263edfdcc3c82a56920,608-01-09035-63133,20211118,55304,2021-11-18 05:53:04
692,0.0928468704223632,befbdc42011686b385d2159bde612d70,608-01-00662-00005,20211118,221703,2021-11-18 22:17:03
662,0.4784660339355469,bc4501e0bd99729fce04b51843d77876,608-01-00451-00000,20211118,161809,2021-11-18 16:18:09
866,0.0012578964233398,eb3a380006c342c2eafd763f4734a1da,608-01-00757-00001,20211118,194853,2021-11-18 19:48:53
70,0.0,b9da82b81c6330c876b9a67f604ad90a,608-01-00461-00001,20211118,115245,2021-11-18 11:52:45
543,0.0,7e986304513b5aefb29f7132ff30ac71,608-01-00756-00001,20211118,140437,2021-11-18 14:04:37
107,0.0028982162475585,894db849b4fe7ed965b773b6654db7b2,608-01-00083-00005,20211118,141931,2021-11-18 14:19:31
493,0.1742458343505859,ec2fa6fceef65ed0bd00bfe43aa6a748,608-01-09000-00735,20211118,200205,2021-11-18 20:02:05
590,0.0414276123046875,70d2dd2b246de1c0e2c6238e6d18b206,608-01-09040-24996,20211118,103317,2021-11-18 10:33:17
741,25.22471237182617,9df2e74aee567a053a82489cc8e79f53,608-01-01092-00005,20211118,194257,2021-11-18 19:42:57
292,5.677298545837402,34e2ee664fabbb6f8837c3cb0fc22705,608-01-09043-06943,20211118,194042,2021-11-18 19:40:42
289,0.0,67cc5867af152fc961e0e54e98bd3e0a,608-01-00983-00012,20211118,95909,2021-11-18 09:59:09
652,0.0,ab817dad06cf1e10803c7b6c18125a55,608-01-01280-00004,20211118,173308,2021-11-18 17:33:08
39,0.0,2cf12b665afc190f7f0ec45a6ed54785,608-01-09043-33961,20211118,72013,2021-11-18 07:20:13
589,0.0389404296875,ebb978562ff65fc64c2656ad8af10c86,608-01-09000-00731,20211118,85030,2021-11-18 08:50:30
307,0.3160638809204101,b0fec86ddd8913990228b9ba1f448834,608-01-09036-54403,20211118,195015,2021-11-18 19:50:15
679,0.0038166046142578,f33d97881f6a15174f40322a27b47706,608-01-09036-25612,20211118,105731,2021-11-18 10:57:31
66,0.0,4c6563a682f0e0f3779601060de01cdc,608-01-09036-36696,20211118,200438,2021-11-18 20:04:38
275,0.0083904266357421,525d3831af97a3fd211054ef1ea33b13,608-01-00408-25295,20211118,185054,2021-11-18 18:50:54
67,0.6462106704711914,9ed2602a4c7c9f94c08b57b8af2b827b,608-01-30171-00011,20211118,185816,2021-11-18 18:58:16
318,0.0,bdd5d38c66a823e118637dc1db320fe2,608-01-09016-05818,20211118,225000,2021-11-18 22:50:00
548,0.013096809387207,2908d6f0903c9dcd7cceed03c73e39f2,608-01-02029-00002,20211118,233001,2021-11-18 23:30:01
998,0.4932126998901367,c928551660be7c416cea737d37850163,608-01-00983-00002,20211118,215352,2021-11-18 21:53:52
714,0.0,8fa054d2d5c642d0c9d96bdec64ea3b9,608-01-30205-00012,20211118,2902,
753,0.5975770950317383,57b44e5618941f33c3f72967d0bfaa7e,608-01-00466-00004,20211118,162705,2021-11-18 16:27:05
327,0.0409936904907226,26d9545472218ef7d5db7fea12ce5d3f,608-01-09036-41102,20211118,54411,2021-11-18 05:44:11
382,121.86931610107422,1551be80779ce6805a05cc73669932fb,608-01-00898-00004,20211118,152014,2021-11-18 15:20:14
451,0.980116844177246,658e24d9a4748738f67397384c73eea4,608-01-01208-00001,20211118,170425,2021-11-18 17:04:25
522,25.765299797058105,6a7bbf470ca50a17e043b96c88576dc8,608-01-00041-00000,20211118,121754,2021-11-18 12:17:54
218,15.12110996246338,88668550ae9afc45cfeb0ea8da86dce6,608-01-19385-00005,20211118,20050,2021-11-18 02:00:50
787,0.0,a3934bc0c0c1f7460e8011acfe063387,608-01-03305-00001,20211118,60017,2021-11-18 06:00:17
436,0.3885002136230469,ff0d05325a1650db8a0b58efa5b331f7,608-01-01007-00011,20211118,120736,2021-11-18 12:07:36
764,0.0,a21f4ec2096dd92b64391c1d1fc911b3,608-01-00057-00001,20211118,83027,2021-11-18 08:30:27
88,0.4391908645629883,317ecd5cd0c826d73882cb73fdf65089,608-01-00985-00004,20211118,124114,2021-11-18 12:41:14
63,0.0,da75accde01b3e29c7b076791e669bd5,608-01-01429-00011,20211118,112017,2021-11-18 11:20:17
826,0.4755201339721679,f30ebe7ffdd6b09247a6537690f43780,608-01-00659-00006,20211118,185011,2021-11-18 18:50:11
716,4.989094734191895,5e0a5ef3c42a691f4a6d21469d613e07,608-01-30062-00001,20211118,212611,2021-11-18 21:26:11
351,47.98297786712647,dd6a32eb8163f5dae85ebc04ff55a669,608-01-09010-02613,20211118,134510,2021-11-18 13:45:10
936,0.0,48d9a617edbce7676cb1fc04ef273baa,608-01-09017-23191,20211118,140903,2021-11-18 14:09:03
256,0.0,2ec071ce785f74b54dad03cb000a7aec,608-01-00083-00011,20211118,214202,2021-11-18 21:42:02
635,0.0459203720092773,2a4e8ef2217bd9f9b2cb50d733425205,608-01-09020-25147,20211118,172121,2021-11-18 17:21:21
644,0.2064495086669922,9187c046fd5570f00ebd69c3b7e18070,608-01-00357-00010,20211118,231945,2021-11-18 23:19:45
554,0.0,0b69fc30cdf92f834a51b1d3379e9559,608-01-00658-00002,20211118,94013,2021-11-18 09:40:13
959,0.0012712478637695,95b70559d074b28e05d41a7a3ffe2bdc,608-01-00788-00001,20211118,140529,2021-11-18 14:05:29
168,63.43907833099365,203049540ea164d625d6173e668c3e13,608-01-00453-00000,20211118,92708,2021-11-18 09:27:08
917,0.0,35b56810dde185844fe6493e0b130a4f,608-01-00701-00002,20211118,95706,2021-11-18 09:57:06
528,29.904852867126465,96451c0063bd8cb746a86744a8aeac11,608-01-00313-00007,20211118,200655,2021-11-18 20:06:55
823,0.0,f741b2d7fcb6c588663f591b7a16c3a1,608-01-00043-00012,20211118,153618,2021-11-18 15:36:18
985,0.0,5f1d33e78cfcb7bcfd1d00e95eed98b1,608-01-00083-00012,20211118,110837,2021-11-18 11:08:37
816,0.0001487731933593,b59f7f3925a8a995c056c306ae279a2c,608-01-00715-09671,20211118,140022,2021-11-18 14:00:22
86,0.0039539337158203,e99dbd8985bdbbab4dfda3c074ac1710,608-01-00140-00011,20211118,190749,2021-11-18 19:07:49
432,0.0,2e6ade5ae8cf1692c0abae1addc415b5,608-01-00659-00004,20211118,175941,2021-11-18 17:59:41
184,0.0,dd93729bee85d00314467c8bad121f04,608-01-00720-09489,20211118,55023,2021-11-18 05:50:23
978,1.874882698059082,5f2f0d2364affc622736618e064484d3,608-01-09003-24481,20211118,234757,2021-11-18 23:47:57
534,0.655461311340332,4b79118de7059c5348b5134e8998f273,608-01-09003-43884,20211118,122535,2021-11-18 12:25:35
294,75.60358047485352,0cd96b7d661c7798ea02e39dd39d1374,608-01-09003-43887,20211118,160512,2021-11-18 16:05:12
892,0.0585765838623046,258671a4f9e8a5ba45c534c133d451a2,608-01-09023-59312,20211118,210549,2021-11-18 21:05:49
425,0.0,dc12a4b6eb605c535e2eb83c4ac5549d,608-01-09040-25131,20211118,105759,2021-11-18 10:57:59
713,36.11403942108154,d7fe5a607a169d515b330b116d0cfc47,608-01-00083-00010,20211118,53414,2021-11-18 05:34:14
260,12.194055557250977,f182379a3887482496d84786e8595ae5,608-01-01048-00003,20211118,145656,2021-11-18 14:56:56
237,0.003096580505371,5c4fee4455c863a8e44ec1878d80563d,608-01-09030-01629,20211118,63207,2021-11-18 06:32:07
559,0.2660236358642578,38cdf0b2e2a8563700e9a3f365dcb6c7,608-01-09043-34031,20211118,91642,2021-11-18 09:16:42
583,0.361602783203125,85988e452d0c8e900b58791564b698ec,608-01-09040-47333,20211118,90554,2021-11-18 09:05:54
445,0.0754842758178711,6fea3a2c3f776b5e702a1b3e5c12d678,608-01-09041-47314,20211118,22310,2021-11-18 02:23:10
867,0.0,3ba73d99df2ee936648908193f415878,608-01-30057-00001,20211118,101725,2021-11-18 10:17:25
800,0.0140743255615234,43fe10970ea16b02e99496e7bb83d1b7,608-01-00118-34205,20211118,105520,2021-11-18 10:55:20
599,0.0631237030029296,7b6643727103c0e792d6a773fcecd8c1,608-01-09036-21909,20211118,174512,2021-11-18 17:45:12
849,0.0,7eec0dacd04af893a847249cba9eb3e1,608-01-00701-00001,20211118,143945,2021-11-18 14:39:45
265,0.0760583877563476,12f412c46e8f839c8b7b3e329db08dfa,608-01-01209-00004,20211118,163347,2021-11-18 16:33:47
995,3.704976081848145,1d0b066301189fe4ad290f6a78eacc59,608-01-00141-00005,20211118,210326,2021-11-18 21:03:26
529,0.0,99894b3ee1c75a56d64e52ea4286d648,608-01-00552-00010,20211118,60639,2021-11-18 06:06:39
55,0.8015146255493164,4ebd4af7ff09ae5cca13721cae579566,608-01-30004-00003,20211118,70951,2021-11-18 07:09:51
120,0.0355615615844726,d8567905976dc5da605243e6a2b38722,608-01-00408-24465,20211118,154539,2021-11-18 15:45:39
215,0.0407743453979492,645418b28698a761db917b2b8a7d3273,608-01-00658-00002,20211118,162748,2021-11-18 16:27:48
25,0.029982566833496,f35a8d3d2524e507fc28f571fe116286,608-01-01628-00004,20211118,93949,2021-11-18 09:39:49
72,0.0917320251464843,15e5ec8ca40828d78425a8f6a9dab787,608-01-09003-01566,20211118,104036,2021-11-18 10:40:36
44,0.0,8aee06512efe1215aca536b669083cc4,608-01-00758-00004,20211118,130921,2021-11-18 13:09:21
247,6.603352546691895,2d1e38ec2ca20e42856d491d7d63ce9a,608-01-01274-00012,20211118,223051,2021-11-18 22:30:51
721,0.3358621597290039,c6f0850cc9f8c56409394de935935a6f,608-01-00528-00011,20211118,192627,2021-11-18 19:26:27
281,0.0,2908d6f0903c9dcd7cceed03c73e39f2,608-01-03311-00003,20211118,152754,2021-11-18 15:27:54
893,0.4693355560302734,8aba9f06226e6d4b6eb458f0768ef9a4,608-01-09000-53103,20211118,141051,2021-11-18 14:10:51
914,0.0176048278808593,d3a8bdd243d58dc74b7baaceff6b1ea8,608-01-09002-47989,20211118,181704,2021-11-18 18:17:04
810,6.538247108459473,461029be235be6139674064c92f5364b,608-01-09000-03947,20211118,231821,2021-11-18 23:18:21
244,1.0742321014404297,8f84972fc2c22ebad18b647ac20dcfe3,608-01-09026-61319,20211118,122901,2021-11-18 12:29:01
822,9.785847663879396,ae4483b9b6f8024c49e43052559ef6c6,608-01-01157-00010,20211118,221817,2021-11-18 22:18:17
321,37.68667030334473,e3a85dca9e101f654728f959f83165f8,608-01-09016-45382,20211118,171913,2021-11-18 17:19:13
643,0.0,8a60ba46ccc0ae536524bcbed30b56e5,608-01-00140-00011,20211118,92730,2021-11-18 09:27:30
158,0.00244140625,08713e900b728419733e8d89a5025ffc,608-01-09030-46353,20211118,235114,2021-11-18 23:51:14
977,0.1515789031982422,bf474df7b963bee0a4781e3e6acf0988,608-01-00715-11554,20211118,221426,2021-11-18 22:14:26
429,0.0,f3f5d45c3927b87d1cbce3ffde84e5cb,608-01-00659-00001,20211118,205123,2021-11-18 20:51:23
941,0.0020380020141601,64034b8608ba107ec71c273663014f6f,608-01-00658-00005,20211118,151807,2021-11-18 15:18:07
462,0.0,8758a6e7f87a6b2ad1dd9b52ba077601,608-01-09025-07455,20211118,223110,2021-11-18 22:31:10
309,0.0,b420c0a4f1f57f50e93acee42bd0a7ba,608-01-00658-00006,20211118,185004,2021-11-18 18:50:04
697,0.0,892bb596c89260b74f5eea4cd550fb94,608-01-00465-00005,20211118,100405,2021-11-18 10:04:05
60,0.0,428dcffd22ed0570bf3eb7ed736f90ed,608-01-30511-00001,20211118,193518,2021-11-18 19:35:18
884,31.870012283325195,561cc36df91418a884d3b2b888a233ce,608-01-09000-36881,20211118,180246,2021-11-18 18:02:46
595,0.0128326416015625,fff7639f8fa2892645cf90d01b7560a6,608-01-09025-09124,20211118,130635,2021-11-18 13:06:35
767,0.5801057815551758,4994967d3ef3445d957b53c2d8522257,608-01-00756-00005,20211118,183932,2021-11-18 18:39:32
649,0.0,b80be4b18116e4870bfbecb0fae49b7f,608-01-00469-00000,20211118,204911,2021-11-18 20:49:11
650,0.0,0e55e4acd31a53063715ac1a62f2f37e,608-01-00408-25289,20211118,104042,2021-11-18 10:40:42
865,2.088437080383301,160c4b9dc9f38e1aa2197f0094150425,608-01-09040-25078,20211118,110023,2021-11-18 11:00:23
668,0.0,ec5e30a1f8170142de78849d0c7704a9,608-01-00303-00010,20211118,172909,2021-11-18 17:29:09
298,0.0894927978515625,f7baf1582f1163432fc272b4c2f511e4,608-01-09036-17038,20211118,172816,2021-11-18 17:28:16
689,0.0001678466796875,de1acb9b21cd038199c9b0f5c84fdd57,608-01-00715-09484,20211118,135706,2021-11-18 13:57:06
314,0.4295558929443359,cda02776eecf426b6cbaa9b9319ba5b9,608-01-00658-00002,20211118,114356,2021-11-18 11:43:56
310,0.0263357162475585,2063665d85d13073c57ceb9494d5687f,608-01-00659-00005,20211118,224350,2021-11-18 22:43:50
361,0.1543474197387695,b8b9dc654da68fc4a748d3df03a7046a,608-01-09020-24974,20211118,104858,2021-11-18 10:48:58
479,137.83596515655518,f0fc8c319a57646e6d49ce23752d3505,608-01-01272-00004,20211118,154552,2021-11-18 15:45:52
110,0.0034208297729492,6050d4ab0fc729d166d933be90420b23,608-01-09003-01566,20211118,41004,2021-11-18 04:10:04
989,4.657254219055176,41fcb403a3c6feb9932d16d7ab993685,608-01-00659-00001,20211118,104351,2021-11-18 10:43:51
486,0.0141334533691406,3a6147dd9a2cb31269135add704117a6,608-01-09000-07241,20211118,93426,2021-11-18 09:34:26
363,0.1448202133178711,a01d7bef276c24ffe0f0d43bfa336e11,608-01-01811-00012,20211118,153218,2021-11-18 15:32:18
254,0.0,24348ea2ce144a9609c3afe196a10d24,608-01-09036-17039,20211118,111045,2021-11-18 11:10:45
259,12.83969020843506,508f3a8da280dfdd7ce1b50e638e509f,608-01-09043-06942,20211118,133524,2021-11-18 13:35:24
802,2.773231506347656,5d1cd2a853071633e07d68532f32bfd0,608-01-09029-07885,20211118,213708,2021-11-18 21:37:08
677,5.122530937194824,eecd1de7f26240ab2940d5eadaf368f7,608-01-03278-00003,20211118,133804,2021-11-18 13:38:04
494,0.0,3ced11e5e2f31801c511be56f7c6d9d1,608-01-00983-00008,20211118,104548,2021-11-18 10:45:48
670,0.0173845291137695,8216834ed3815cac4c7435e3d770953b,608-01-00658-00003,20211118,231033,2021-11-18 23:10:33
377,0.0,8ca256c79145e90605d4aa728e96a315,608-01-00678-00003,20211118,51458,2021-11-18 05:14:58
526,0.5720090866088867,db15578b64cf2a056c62844aa9d7c740,608-01-00658-00005,20211118,65927,2021-11-18 06:59:27
845,1.1917619705200195,2eb510f1ca32e01b8aeb13fad38e3c23,608-01-00452-00002,20211118,114239,2021-11-18 11:42:39
137,1.1399517059326172,7c79dc38a926ea4fee64ccfdc162a41a,608-01-09010-05166,20211118,152932,2021-11-18 15:29:32
355,0.1615962982177734,6a4fbc1d5d5fee165124efef9d72f7c3,608-01-00140-00011,20211118,180342,2021-11-18 18:03:42
365,0.0,9c49c4e245bed865f76b987ae80971fa,608-01-00047-00012,20211118,152946,2021-11-18 15:29:46
942,0.0051240921020507,78221e5e6922b3babc0820c3ca3a5ea3,608-01-00408-25431,20211118,171427,2021-11-18 17:14:27
749,14.769712448120115,669dde408816798f42b6c2660d07c7e9,608-01-00658-00001,20211118,152425,2021-11-18 15:24:25
948,0.0,0066703f54627cbedde839996baa7d3a,608-01-01837-00003,20211118,154822,2021-11-18 15:48:22
829,0.0,ee517d081ecc04739e28e070e05a874e,608-01-00985-00004,20211118,21341,2021-11-18 02:13:41
656,0.0002002716064453,ee17b28c991cb77760337e0d88321db0,608-01-01173-00003,20211118,172948,2021-11-18 17:29:48
199,0.003061294555664,bb47109fe1595baef0235eec7ffbe297,608-01-01092-00002,20211118,210817,2021-11-18 21:08:17
213,6.096245765686035,821ed8f95228f39ee7b549ff0346f435,608-01-00465-00002,20211118,194537,2021-11-18 19:45:37
408,0.0,c9340a8e351b72c7f0f266870679d6b1,608-01-00701-00002,20211118,93909,2021-11-18 09:39:09
332,0.7850837707519531,9dad9fb0d56292fdc63fe1ceaa8ef9f4,608-01-09001-01875,20211118,165048,2021-11-18 16:50:48
208,0.7805213928222656,eafeafa884e7e0796c91f8440b9a353f,608-01-09025-00248,20211118,140424,2021-11-18 14:04:24
613,0.0612239837646484,6de4b35434315b091c84b5d130023bf0,608-01-09000-00281,20211118,154937,2021-11-18 15:49:37
78,0.719508171081543,160c4b9dc9f38e1aa2197f0094150425,608-01-19389-00006,20211118,151705,2021-11-18 15:17:05
29,0.6988887786865234,236d601cd872a14ba0de8d3eb24f2365,608-01-00083-00010,20211118,171019,2021-11-18 17:10:19
535,21.82561111450196,e4d6bc300aebfe040c3676dc49a9b728,608-01-02705-00005,20211118,143408,2021-11-18 14:34:08
695,0.0,cb866e9228f5679260625700532d651e,608-01-00752-00004,20211118,174453,2021-11-18 17:44:53
557,0.0,0a07cb1d18744bf69208139fde721ec8,608-01-00720-12883,20211118,215806,2021-11-18 21:58:06
836,1.206594467163086,4fd9335ae00f2fccfa7c62f19423a969,608-01-09036-15784,20211118,926,
596,8.405610084533691,68c9cbd3aa592b1209a214a81dea4127,608-01-09034-62981,20211118,150221,2021-11-18 15:02:21
165,9.60422420501709,dc9c8b256477a4778b343e3339dca04b,608-01-09025-10502,20211118,54751,2021-11-18 05:47:51
918,1.246599197387695,60020429339fb4ecc73921f307cf4995,608-01-09030-48913,20211118,201109,2021-11-18 20:11:09
495,0.0,b002c7b3c2bf145954ab412e1aa1afb1,608-01-09002-04671,20211118,94620,2021-11-18 09:46:20
824,0.0477962493896484,ebb978562ff65fc64c2656ad8af10c86,608-01-01208-00011,20211118,171556,2021-11-18 17:15:56
65,0.2420015335083007,52a43c5465341e789affecbbb8368916,608-01-09003-33573,20211118,63741,2021-11-18 06:37:41
141,4.236611366271973,bcfface47a827e186f3d63e0446862c3,608-01-09028-51827,20211118,212338,2021-11-18 21:23:38
925,1.1403255462646484,e92f7dfe87aaaf209484bf35b336ea62,608-01-00658-00003,20211118,214538,2021-11-18 21:45:38
827,0.0023756027221679,cd38c19270223156740e858a9d8869d5,608-01-00995-00010,20211118,184026,2021-11-18 18:40:26
655,0.0006313323974609,d79c7c42bc46a0fac50d0d204e1fbe68,608-01-00701-00001,20211118,111858,2021-11-18 11:18:58
331,32.563645362854004,5cf5816d8dcd27cd5cf0a186a7ed61f3,608-01-00651-00012,20211118,221019,2021-11-18 22:10:19
664,0.0,a3934bc0c0c1f7460e8011acfe063387,608-01-03305-00001,20211118,145745,2021-11-18 14:57:45
249,0.0,30b98a772e31b8bff208f13535993794,608-01-01092-00006,20211118,100652,2021-11-18 10:06:52
907,0.0011396408081054,d0b58e015aa74fe8c829bdcd981ac28d,608-01-17505-00003,20211118,101746,2021-11-18 10:17:46
708,0.0006589889526367,301fad9cd84664ebd0037f9b298bd466,608-01-00712-04911,20211118,190701,2021-11-18 19:07:01
305,0.595402717590332,39576622f53e9de6c59e0f9120b80718,608-01-09036-15785,20211118,165554,2021-11-18 16:55:54
734,0.7429695129394531,94f82e224bfa5e2dce12a96ec761956b,608-01-09036-27842,20211118,192528,2021-11-18 19:25:28
975,0.6969070434570312,f2fe8c88264927c550b720d389e928f1,608-01-09036-30541,20211118,133841,2021-11-18 13:38:41
49,0.0045223236083984,7b6643727103c0e792d6a773fcecd8c1,608-01-09036-25627,20211118,183504,2021-11-18 18:35:04
896,0.0,0fb61f86bc62bf060b0519a961a48739,608-01-02455-00005,20211118,171654,2021-11-18 17:16:54
2,0.1182260513305664,b891e81a411222ae751325c36ed4b0e4,608-01-00551-00012,20211118,202527,2021-11-18 20:25:27
544,0.0,a3934bc0c0c1f7460e8011acfe063387,608-01-03305-00001,20211118,42512,2021-11-18 04:25:12
350,0.0097427368164062,03cc8149c06ac96e4113ca6b7c28e834,608-01-09003-43884,20211118,150038,2021-11-18 15:00:38
