,type_rechargement,msisdn,call_event_date,cost,localite,timestamp
899,Recharge via Seddo,5421e8c98201f48fa4af837679f47810,20220328,500,ALMADIES/DAKAR/DAKAR,2022-03-28
280,Recharge via Seddo,7fcc76ea3b7431ed528eff93cbf98456,20220222,2200,DAKAR PLATEAU/DAKAR/DAKAR,2022-02-22
883,Recharge via Seddo,a5468cf3a71328cd4d9ee111c515c47b,20220119,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-01-19
761,Pass Glob via OM,37193ef8835c3665975dd83c1c5e455c,20220615,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-06-15
319,Recharge via OM,3968d5ec1798ad6afa498bfa1a81b5df,20210816,1500,KAOLACK/KAOLACK/KAOLACK,2021-08-16
549,Recharge via Seddo,b3c797c913df2585e841778d34909c07,20220313,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-03-13
174,Pass Glob via OM,d69aa832e871eab5181eb4dd6f860739,20220629,5000,KAOLACK/KAOLACK/KAOLACK,2022-06-29
371,Recharge via Seddo,3d0f42432de3d7aa40b4751fc8e2f95e,20211117,500,THIAROYE/PIKINE/DAKAR,2021-11-17
527,Pass Glob via OM,6fe6b276f9b9aa7e391282f117e13f7d,20210919,250,DAKAR PLATEAU/DAKAR/DAKAR,2021-09-19
210,Recharge via Seddo,241f0b8f408beed105b8ebb777d746f8,20211114,2400,KEDOUGOU/KEDOUGOU/KEDOUGOU,2021-11-14
235,Pass Glob via OM Jour,32fae1687329a2526446697fc63b6edb,20220328,500,KAOLACK/KAOLACK/KAOLACK,2022-03-28
101,Recharge via Seddo,695d5e641790a610d26ea84a41a6824b,20220119,100,DAKAR PLATEAU/DAKAR/DAKAR,2022-01-19
986,Recharge via Seddo,0e9ab1b11764ed4a00961467cf809e24,20220519,500,THIAROYE/PIKINE/DAKAR,2022-05-19
902,Recharge via Seddo,dbba9fe6358cd533b69352f8ff27a0a7,20210929,100,DAKAR PLATEAU/DAKAR/DAKAR,2021-09-29
947,Recharge via Seddo,93de4489352b7b02563a0329dafe382b,20211102,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-11-02
346,Recharge via OM,2cab24e65f5adf5261a95b95c8e7c0ff,20220305,2000,BABA GARAGE/BAMBEY/DIOURBEL,2022-03-05
139,Recharge via Seddo,535bccdd548ad4703fd4ed5bf9cd2f92,20220102,1000,FONGOLEMBI/KEDOUGOU/KEDOUGOU,2022-01-02
621,Recharge via Seddo,09a972568d9cb26757d7ee1cec9e580f,20211015,500,THIAROYE/PIKINE/DAKAR,2021-10-15
499,Recharge via Cartes,23e8da8948f93573e38b533496af8d20,20211017,1000,KAOLACK/KAOLACK/KAOLACK,2021-10-17
370,Recharge via OM,2b7368eb7c15eef2ebe0e761900c4b8d,20211014,600,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-10-14
198,Recharge via Seddo,e1b5693ac6576525d93e320730540b88,20220512,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-05-12
687,Pass Glob via OM Jour,91d0b36d4498a50b0eeaf2804eb3da84,20210709,1000,DAKAR PLATEAU/DAKAR/DAKAR,2021-07-09
584,Recharge via Seddo,c2a96b708c338547b1114c1a54296389,20210729,500,THIAROYE/PIKINE/DAKAR,2021-07-29
901,Recharge via Seddo,9d4fc35ff8ebb42c3f0fec4e3047a1de,20220512,550,KEDOUGOU/KEDOUGOU/KEDOUGOU,2022-05-12
59,Recharge via OM,117e5d1a82c117e6515b287791ac78d2,20220110,500,DJIBANAR/GOUDOMP/SEDHIOU,2022-01-10
328,Recharge via OM,302dd4854aee0f834f1612a47e2784fc,20220330,600,AGNAM CIVOL/MATAM/MATAM,2022-03-30
96,Recharge via Seddo,3cad60b666b57d07c82c62fb6cbf0e1a,20220217,600,BANDAFASSI/KEDOUGOU/KEDOUGOU,2022-02-17
312,Recharge via Seddo,7e705c1905c6e09bf66b74a2716efee8,20220531,100,KAOLACK/KAOLACK/KAOLACK,2022-05-31
974,Recharge via Seddo,c4f7e78a47a23d9c981eb1d896bba4cf,20220309,250,DAKAR PLATEAU/DAKAR/DAKAR,2022-03-09
299,Recharge via Seddo,c3eb25a3b73497873dcc5b4af852b416,20220311,550,BANDAFASSI/KEDOUGOU/KEDOUGOU,2022-03-11
277,Recharge via Seddo,b2af10963918818b9fcaaa5e8ae7f768,20220715,500,THIAROYE/PIKINE/DAKAR,2022-07-15
924,Recharge via Seddo,c48ab33ced4d8c13eb2bcb30a70832fc,20211105,800,OUROSSOGUI/MATAM/MATAM,2021-11-05
601,Recharge via OM,c9375b5ee80d11b3c0fe6a354da0ec9e,20210929,1500,KEDOUGOU/KEDOUGOU/KEDOUGOU,2021-09-29
439,Recharge via Seddo,cce8c1155a2e6e423d405f682133aedd,20220302,550,OUROSSOGUI/MATAM/MATAM,2022-03-02
837,Pass Glob via OM Jour,c49adc9fb9a3439bf52c84fe0ab999cb,20220623,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-06-23
570,Recharge via Seddo,80ffb67bf58338308e7ea0e4eece1313,20211120,550,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-11-20
879,Recharge via Seddo,f4ec7b409c2655b02a486f339bb1d714,20211004,1300,THIAROYE/PIKINE/DAKAR,2021-10-04
261,Recharge via Seddo,a75eecae6183ec7ffece9e8c14644da7,20210828,1000,PARCELLES ASSAINIES/DAKAR/DAKAR,2021-08-28
578,Recharge via Seddo,dc9c8b256477a4778b343e3339dca04b,20220201,500,THIAROYE/PIKINE/DAKAR,2022-02-01
23,Recharge via Seddo,f33d97881f6a15174f40322a27b47706,20210921,2200,OUROSSOGUI/MATAM/MATAM,2021-09-21
30,Recharge via Seddo,93d0a26dc920a66ea07442894cb572a3,20220527,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-05-27
617,Pass Glob via OM,a1b23abcdced772f582a0abf0c9df700,20210913,2000,DAKAR PLATEAU/DAKAR/DAKAR,2021-09-13
10,Recharge via Seddo,71051090f9b0ceaf44be11a267b86152,20210731,1000,THIAROYE/PIKINE/DAKAR,2021-07-31
221,Recharge via Seddo,f705e918fb3f939d5b3a4cf9b6ef5720,20220115,200,DAKAR PLATEAU/DAKAR/DAKAR,2022-01-15
820,Recharge via OM,c493d43de57aca82e507088b29c50586,20211116,500,DAKAR PLATEAU/DAKAR/DAKAR,2021-11-16
296,Recharge via Seddo,85c7e43b2983165175caa799a53067c6,20211027,550,KAOLACK/KAOLACK/KAOLACK,2021-10-27
54,Pass Glob via OM,6d32161a99797bd8c2cdbc64e3fe4d77,20220120,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-01-20
542,Recharge via Seddo,4edbc444178f01e3957f2998a6c04622,20220607,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-06-07
209,Recharge via OM,1523381bdff9d53b3cfea95065379d75,20210930,550,KAOLACK/KAOLACK/KAOLACK,2021-09-30
604,Recharge via Seddo,662b3df40afcbc46e6edb6d0dcc3cb7b,20220310,200,THIAROYE/PIKINE/DAKAR,2022-03-10
692,Recharge via Seddo,db4d20788424ae7bd26af648bab5b21a,20210829,500,DAKAR PLATEAU/DAKAR/DAKAR,2021-08-29
662,Pass Glob via OM,db83248589b0b4895d3f040a77a01d9a,20220521,5000,DAKAR PLATEAU/DAKAR/DAKAR,2022-05-21
866,Recharge via Seddo,890cc0785bb9d4df68bb6d4343b95c9d,20210807,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-08-07
70,Recharge via Seddo,67aff90545ba2a7c662eb73144129c26,20220703,1700,SALDE/PODOR/SAINT-LOUIS,2022-07-03
543,Recharge via Seddo,be80cad59b7df545355703e872fc1a35,20210709,1100,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-07-09
107,Recharge via Seddo,a75429b9539ac5758a4d328361bc502f,20211029,300,THIAROYE/PIKINE/DAKAR,2021-10-29
493,Recharge via OM,2ed164ab7b2ed3223a09563c6d4c715c,20220121,2000,SALDE/PODOR/SAINT-LOUIS,2022-01-21
590,Recharge via Seddo,ae966cab7cd5dbadbb8b999ea1d0b53e,20210909,1000,BEMBOU/SARAYA/KEDOUGOU,2021-09-09
741,Recharge via OM,4dd0a6240f3ed9f63bbf7ad96a719cf1,20211221,2000,KAOLACK/KAOLACK/KAOLACK,2021-12-21
292,Recharge via Seddo,0b188085d0740d92f8ff64ee7317e31c,20210823,500,KAOLACK/KAOLACK/KAOLACK,2021-08-23
289,Recharge via Seddo,ac17e28d7a22e7fb803540f9bf2e769d,20210914,1300,OUROSSOGUI/MATAM/MATAM,2021-09-14
652,Pass Glob via OM Jour,b49ec778b7f51637458bad6f9e922f65,20220314,2000,AGNAM CIVOL/MATAM/MATAM,2022-03-14
39,Recharge via Seddo,7c6c066f2a5d41affba747bc679de3ff,20210716,300,FONGOLEMBI/KEDOUGOU/KEDOUGOU,2021-07-16
589,Recharge via OM,ffe3b89ec38ff58d6a971099494ed5aa,20210719,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-07-19
307,Recharge via Seddo,a91d5abd979aeed5f01ace116947271a,20211118,1100,KAOLACK/KAOLACK/KAOLACK,2021-11-18
679,Recharge via Seddo,614575f5185187b69bacd693db87780e,20211231,100,THIAROYE/PIKINE/DAKAR,2021-12-31
66,Recharge via Seddo,67aff90545ba2a7c662eb73144129c26,20211023,750,THIAROYE/PIKINE/DAKAR,2021-10-23
275,Recharge via OM,425d120f7796f3729927ddaaf4a46a82,20220224,500,KAOLACK/KAOLACK/KAOLACK,2022-02-24
67,Recharge via Seddo,67aff90545ba2a7c662eb73144129c26,20211023,550,THIAROYE/PIKINE/DAKAR,2021-10-23
318,Recharge via Seddo,699d5bad07c703eaae2bc324279355a1,20220511,200,THIAROYE/PIKINE/DAKAR,2022-05-11
548,Recharge via OM,49c96ef0015169d7e050957a28e322f3,20211029,600,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-10-29
998,Recharge via OM,db4df3564e198f7b2cbb91b8a5876ac4,20210828,1300,SALDE/PODOR/SAINT-LOUIS,2021-08-28
714,Recharge via Seddo,3febddcdef837fb6f47325820320e545,20220614,550,OUROSSOGUI/MATAM/MATAM,2022-06-14
753,Recharge via OM,37193ef8835c3665975dd83c1c5e455c,20220307,2200,DAKAR PLATEAU/DAKAR/DAKAR,2022-03-07
327,Recharge via Seddo,cea05ca2467f59e3e1c404ed6a684734,20220218,100,ZIGUINCHOR/ZIGUINCHOR/ZIGUINCHOR,2022-02-18
382,Recharge via Seddo,44e18431b8cb48f8f90419041bca1d8c,20220320,1000,THIAROYE/PIKINE/DAKAR,2022-03-20
451,Pass Glob via OM Jour,ac944001c518ecd7521fa76729004f8f,20210930,500,OUROSSOGUI/MATAM/MATAM,2021-09-30
522,Recharge Digital via O&M,cf506ba2da0950fbf04bc219ab1277f1,20220226,200,OUROSSOGUI/MATAM/MATAM,2022-02-26
218,Recharge via Seddo,247c5bc8646da6345f82b7230473e0e9,20210718,350,DAKAR PLATEAU/DAKAR/DAKAR,2021-07-18
787,Recharge via Seddo,23dcb3614c39982186906f6ee8308cfe,20211213,1000,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-12-13
436,Recharge via Seddo,7c3d2ef0bd00d284021f9aed1c66e2a1,20220407,550,THIAROYE/PIKINE/DAKAR,2022-04-07
764,Pass Glob via OM Jour,37193ef8835c3665975dd83c1c5e455c,20220615,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-06-15
88,Recharge via Seddo,645b70fe8ebdb2bb11de2bdb7bab856e,20220125,1000,OUROSSOGUI/MATAM/MATAM,2022-01-25
63,Recharge via Seddo,0ed1854877f4acfd85517c2f2880c95f,20220416,100,OUROSSOGUI/MATAM/MATAM,2022-04-16
826,Recharge via OM,d3260282cae1699d864d589452579e5d,20220630,1500,THIAROYE/PIKINE/DAKAR,2022-06-30
716,Recharge via Seddo,25aaa2323275a6cb9b036e99c62c7617,20211218,200,DAKAR PLATEAU/DAKAR/DAKAR,2021-12-18
351,Recharge via Seddo,08713e900b728419733e8d89a5025ffc,20220106,2500,BANDAFASSI/KEDOUGOU/KEDOUGOU,2022-01-06
936,Recharge via Seddo,f1fb4c84a00e1e4ba46beb6c33409097,20220531,1650,THIAROYE/PIKINE/DAKAR,2022-05-31
256,Recharge via Seddo,4bb8afc3ab4e84149fe8cdc19368d2d1,20211028,250,OUROSSOGUI/MATAM/MATAM,2021-10-28
635,Recharge via OM,e8426375608f10a940484505784cd8aa,20211212,500,THIAROYE/PIKINE/DAKAR,2021-12-12
644,Recharge via Seddo,5d39e9e0b81066b63d22c6a50b41aefa,20210930,500,THIAROYE/PIKINE/DAKAR,2021-09-30
554,Recharge via Seddo,bf31376f4def43b5c923180731f7c559,20210902,200,THIAROYE/PIKINE/DAKAR,2021-09-02
959,Recharge via Seddo,d4f7548ac4072564b3e02bc3be137402,20220503,1000,THIAROYE/PIKINE/DAKAR,2022-05-03
168,Recharge via OM,7c12c9fb3e62707c7090c94762f5769f,20210806,500,KAOLACK/KAOLACK/KAOLACK,2021-08-06
917,Recharge via Seddo,b4c39d494f9b4850e722961fec984a06,20220210,300,DJIBANAR/GOUDOMP/SEDHIOU,2022-02-10
528,Pass Glob via OM Jour,6fe6b276f9b9aa7e391282f117e13f7d,20210919,250,DAKAR PLATEAU/DAKAR/DAKAR,2021-09-19
823,Recharge via Seddo,f43a78b6f17c055e442dacea308280d1,20211209,100,KAOLACK/KAOLACK/KAOLACK,2021-12-09
985,Recharge via Seddo,dbff9625b2efcab7460efa3e32b57e40,20211107,500,KAOLACK/KAOLACK/KAOLACK,2021-11-07
816,Recharge via OM,1f03a6e27b788f645ae53fb0a03459e4,20220413,1300,OUROSSOGUI/MATAM/MATAM,2022-04-13
86,Recharge via Seddo,009d3fc8b0335dbba4cad00aad09fbcb,20210822,2000,OUROSSOGUI/MATAM/MATAM,2021-08-22
432,Recharge via OM,48f2f8a09711f5c259c19bb7005b19b6,20210906,2200,GUEDIAWAYE/GUEDIAWAYE/DAKAR,2021-09-06
184,Recharge via Seddo,e7e0ec5a0c8163105970fc64d40fc76d,20220418,500,AGNAM CIVOL/MATAM/MATAM,2022-04-18
978,Recharge via Seddo,2802de23c8540b30d630402dca5e5b91,20220521,100,THIAROYE/PIKINE/DAKAR,2022-05-21
534,Pass Glob via OM,6fe6b276f9b9aa7e391282f117e13f7d,20220206,2000,DAKAR PLATEAU/DAKAR/DAKAR,2022-02-06
294,Recharge via Seddo,8f51014e0d54f5c48a065a9fae998f11,20211114,300,KAOLACK/KAOLACK/KAOLACK,2021-11-14
892,Recharge via Seddo,c3b7d6bd9aad6eb6c447daac5cc5ed15,20220403,600,THIAROYE/PIKINE/DAKAR,2022-04-03
425,Recharge via OM,1c6bc08109192afceac84b972e055345,20211221,500,KAOLACK/KAOLACK/KAOLACK,2021-12-21
713,Recharge via Seddo,dce5cd0df45c125c3479dc49cd09006a,20220121,2000,DAKAR PLATEAU/DAKAR/DAKAR,2022-01-21
260,Recharge via Seddo,4bb8afc3ab4e84149fe8cdc19368d2d1,20211104,500,OUROSSOGUI/MATAM/MATAM,2021-11-04
237,Recharge via OM,5749f0ed077576e40a4076ee0e9db338,20211228,1500,KAOLACK/KAOLACK/KAOLACK,2021-12-28
559,Pass via OM,498c00bd444d0b3b203df386d33cf019,20220729,250,THIAROYE/PIKINE/DAKAR,2022-07-29
583,Recharge via Seddo,c2a96b708c338547b1114c1a54296389,20210729,2050,THIAROYE/PIKINE/DAKAR,2021-07-29
445,Recharge via Seddo,0bd34c822d01abcf0e029931392961c6,20210724,1000,COLOBANE/GOSSAS/FATICK,2021-07-24
867,Recharge via Seddo,890cc0785bb9d4df68bb6d4343b95c9d,20220504,2000,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-05-04
800,Recharge via Seddo,73a37e1ef647fe20a19f3a7feef7a8ef,20220111,2000,KAOLACK/KAOLACK/KAOLACK,2022-01-11
599,Recharge via Seddo,608486fcb2af8eced2456ed8d8a19d43,20210728,500,DAKAR PLATEAU/DAKAR/DAKAR,2021-07-28
849,Recharge via Seddo,92eca513b137cfd9ed9d3871d191614e,20220606,1000,DAKAR PLATEAU/DAKAR/DAKAR,2022-06-06
265,Recharge via Seddo,18cd4dd0740a1f0c90b07ba446c67a78,20220219,550,KAOLACK/KAOLACK/KAOLACK,2022-02-19
995,Recharge via OM,8b4a30a0713a8ef3bcfec3570c5bc4f1,20220413,1000,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-04-13
529,Pass Glob via OM Jour,6fe6b276f9b9aa7e391282f117e13f7d,20211212,2000,DAKAR PLATEAU/DAKAR/DAKAR,2021-12-12
55,Pass Glob via OM Jour,6d32161a99797bd8c2cdbc64e3fe4d77,20220120,500,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-01-20
120,Recharge via OM,0514980ef1b3eb40f820097462c69d78,20220426,1000,KAOLACK/KAOLACK/KAOLACK,2022-04-26
215,Recharge via Seddo,247c5bc8646da6345f82b7230473e0e9,20210718,500,DAKAR PLATEAU/DAKAR/DAKAR,2021-07-18
25,Recharge via Seddo,9203789f06fd1bd4efc6130d86dd2dc3,20211026,700,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-10-26
72,Recharge via OM,4b1cf0c738a5280f5de7197e2a3c92e4,20220110,700,BEMBOU/SARAYA/KEDOUGOU,2022-01-10
44,Recharge via Seddo,752e01c1bafddf19a6413d991fdd228a,20220602,300,THIAROYE/PIKINE/DAKAR,2022-06-02
247,Recharge via Seddo,ba7e14f93831c4f21d4ce16e8f023c42,20220422,100,KAOLACK/KAOLACK/KAOLACK,2022-04-22
721,Recharge via Seddo,681eee9224c18c4d308203834cbe4eef,20210705,1000,THIAROYE/PIKINE/DAKAR,2021-07-05
281,Recharge via OM,5c507e8d536cbb28a1a9eade1d5a63d5,20211219,300,OUROSSOGUI/MATAM/MATAM,2021-12-19
893,Recharge via Seddo,c3b7d6bd9aad6eb6c447daac5cc5ed15,20220403,600,THIAROYE/PIKINE/DAKAR,2022-04-03
914,Recharge via Cartes,272e3bdeb255b66a4da9ae65e9f91a1c,20220425,2500,KAOLACK/KAOLACK/KAOLACK,2022-04-25
810,Pass Glob via OM Jour,8ba6e095dfee4889dafee94053dddb41,20220305,2000,OUROSSOGUI/MATAM/MATAM,2022-03-05
244,Recharge via Seddo,6f55287fd732343e7495ab979ccea6c3,20220705,100,KAOLACK/KAOLACK/KAOLACK,2022-07-05
822,Recharge via Seddo,d3cd6c6141689259d7dcdfc5585560cf,20211009,2200,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-10-09
321,Recharge via Seddo,0249634566defc4c1f3a9bee5b2fb805,20220209,100,KAOLACK/KAOLACK/KAOLACK,2022-02-09
643,Recharge via Seddo,ec2e4eb7613acfac5a1d2362684a539e,20220113,1300,THIAROYE/PIKINE/DAKAR,2022-01-13
158,Pass Glob via OM,72cb7ae4d89d1f7b6b9148fbdc9d697f,20210821,100,KEDOUGOU/KEDOUGOU/KEDOUGOU,2021-08-21
977,Recharge via Seddo,2802de23c8540b30d630402dca5e5b91,20220521,100,THIAROYE/PIKINE/DAKAR,2022-05-21
429,Recharge via Seddo,a72a12c8924f62fd7872d9de53c800dd,20220610,550,DAKAR PLATEAU/DAKAR/DAKAR,2022-06-10
941,Recharge via Seddo,c28779e07aaa13fbd744474074b7936c,20220202,600,KAOLACK/KAOLACK/KAOLACK,2022-02-02
462,Recharge via Seddo,910bff5609bf712c6a7227d1eb14b6f9,20220414,500,KEDOUGOU/KEDOUGOU/KEDOUGOU,2022-04-14
309,Recharge via Seddo,a91d5abd979aeed5f01ace116947271a,20220113,500,KAOLACK/KAOLACK/KAOLACK,2022-01-13
697,Recharge via Seddo,3ba39e8df7e9c463c27a990f0d8b01c4,20211102,2300,OUROSSOGUI/MATAM/MATAM,2021-11-02
60,Recharge via Seddo,d4b4d8d48a431e905603b9fa5e15e40a,20220210,200,DAKAR PLATEAU/DAKAR/DAKAR,2022-02-10
884,Recharge via Seddo,a5468cf3a71328cd4d9ee111c515c47b,20220719,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-07-19
595,Recharge via Cartes,c579060cb283a969001e949cbac9b744,20220408,5000,PARCELLES ASSAINIES/DAKAR/DAKAR,2022-04-08
767,Pass Glob via OM Jour,37193ef8835c3665975dd83c1c5e455c,20220615,500,DAKAR PLATEAU/DAKAR/DAKAR,2022-06-15
649,Recharge via Seddo,2c1caa3ff1e06d185a751c5b94787ecf,20220227,200,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-02-27
650,Pass Glob via OM Jour,925cd15f9b85e773c679301c88c315e3,20220624,1300,KAOLACK/KAOLACK/KAOLACK,2022-06-24
865,Recharge via Seddo,f723e5ef4c31663aee0a4e2d3edc31f6,20220203,250,THIAROYE/PIKINE/DAKAR,2022-02-03
668,Pass Glob via OM Jour,46934bfe5b1fec61d77c7d5a02c1e6cd,20220114,200,THIAROYE/PIKINE/DAKAR,2022-01-14
298,Recharge via Seddo,5ace67f2ef9f94cec6280834c93b9f98,20220319,500,KEDOUGOU/KEDOUGOU/KEDOUGOU,2022-03-19
689,Pass Glob via OM,91d0b36d4498a50b0eeaf2804eb3da84,20210709,1000,DAKAR PLATEAU/DAKAR/DAKAR,2021-07-09
314,Recharge via Seddo,e58f92c4eb98d106b133a02b7635579a,20210730,550,FONGOLEMBI/KEDOUGOU/KEDOUGOU,2021-07-30
310,Recharge via Seddo,a91d5abd979aeed5f01ace116947271a,20220618,2000,KAOLACK/KAOLACK/KAOLACK,2022-06-18
361,Recharge via OM,61762a00a3e70d4eb1be825cfd9c7b3d,20210812,1000,KAOLACK/KAOLACK/KAOLACK,2021-08-12
479,Recharge via OM,70e233f410a6efed682a91394885f23d,20220116,2000,PARCELLES ASSAINIES/DAKAR/DAKAR,2022-01-16
110,Recharge via Seddo,be8d1525fabc2ea23b295c0f74cfd3b6,20220628,750,BANDAFASSI/KEDOUGOU/KEDOUGOU,2022-06-28
989,Recharge via OM,32b5b4737dc7bd51127c6b81f6d59271,20220615,500,KAOLACK/KAOLACK/KAOLACK,2022-06-15
486,Recharge via OM,2fa9c9315609a54678f0d1bb53ade0ae,20220309,2200,THIAROYE/PIKINE/DAKAR,2022-03-09
363,Recharge via OM,ddcc2b02f98be93fce6cd6fd6602d3de,20220523,1500,KEDOUGOU/KEDOUGOU/KEDOUGOU,2022-05-23
254,Pass Glob via OM,4a80a47af5a2953543fc0efb2a2ab28d,20220310,200,ALMADIES/DAKAR/DAKAR,2022-03-10
259,Recharge via Seddo,4bb8afc3ab4e84149fe8cdc19368d2d1,20211104,1000,OUROSSOGUI/MATAM/MATAM,2021-11-04
802,Recharge via Seddo,c63c7fda104cb3d76807a1a30c4eba6c,20220105,200,THIAROYE/PIKINE/DAKAR,2022-01-05
677,Recharge via Seddo,f4b66c8cdeaaa2eb75b2249a7edfe969,20210729,200,THIAROYE/PIKINE/DAKAR,2021-07-29
494,Recharge via Seddo,51a4e58b5e9cb6de035eca74ac4e252c,20220206,550,THIAROYE/PIKINE/DAKAR,2022-02-06
670,Recharge via Seddo,b1e27d712515bbafd497f54742a7ed0d,20220310,700,THIAROYE/PIKINE/DAKAR,2022-03-10
377,Recharge via Seddo,07b5292ac9c4efc7395dad3aeabfe149,20220303,1000,DAKAR PLATEAU/DAKAR/DAKAR,2022-03-03
526,Pass via OM,24fcef83ba13fcbb0ae4d7b43f68c0d9,20220730,50,BARKEDJI/LINGUERE/LOUGA,2022-07-30
845,Pass via OM,ffb1055fa14d47150eb1209552721111,20210731,4500,THIAROYE/PIKINE/DAKAR,2021-07-31
137,Recharge via Seddo,6a1303a97bd31c0fca9fe4c1bcb2f918,20210907,700,MBACKE/MBACKE/DIOURBEL,2021-09-07
355,Recharge via Seddo,5dd460a3ebf83977b1287afeec8e36d4,20220709,500,KEDOUGOU/KEDOUGOU/KEDOUGOU,2022-07-09
365,Recharge via Seddo,d5bb749c59b640a1fed2d0f1078a7cdc,20211030,500,DAKAR PLATEAU/DAKAR/DAKAR,2021-10-30
942,Recharge via OM,94feb195fb2a8601a72f0fdc043d018e,20220425,500,OUROSSOGUI/MATAM/MATAM,2022-04-25
749,Recharge via Seddo,fcba2d388aee9d6d478cd39ad7b712a3,20220511,550,KAOLACK/KAOLACK/KAOLACK,2022-05-11
948,Recharge via Seddo,93de4489352b7b02563a0329dafe382b,20211106,550,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2021-11-06
829,Recharge via OM,55c745677f7d5b27d08c778156afd464,20211110,1000,OUROSSOGUI/MATAM/MATAM,2021-11-10
656,Recharge via Seddo,ebfb780bcf4d171306966c25dbb58470,20211223,100,KAOLACK/KAOLACK/KAOLACK,2021-12-23
199,Recharge via Seddo,bed4cf9c69fb8bb29c2b0bb0178fad1b,20220410,1000,DAKAR PLATEAU/DAKAR/DAKAR,2022-04-10
213,Recharge via Seddo,129d3228bbc9296feeb01d7030a0d7af,20210811,100,DJIBANAR/GOUDOMP/SEDHIOU,2021-08-11
408,Recharge via Seddo,f1b876b0eff647c91700e92f20a3d001,20211227,200,THIAROYE/PIKINE/DAKAR,2021-12-27
332,Recharge via Seddo,6098010938818b5275a19c8ed0af7b99,20220213,250,DAKAR PLATEAU/DAKAR/DAKAR,2022-02-13
208,Recharge via OM,3ef494c52f2a5862dd53ca15d37aee46,20220421,2000,KAOLACK/KAOLACK/KAOLACK,2022-04-21
